neighbourhood,property_type,price,rooms,baths,area,age,garages,stratum,neighbourhood_fuzzy,property_type_Encoded,neighbourhood_Encoded
LOS NARANJOS,APARTAMENTO,800000000,2.0,3.0,120.0,1.0,1,5,LOS NARANJOS,1,340
SAN PEDRO,APARTAMENTO,235000000,2.0,1.0,57.8,2.0,0,3,SAN PEDRO,1,467
LOS ARIAS,APARTAMENTO,600000000,3.0,3.0,127.0,0.0,0,4,LOS ARIAS,1,332
LOMA DEL BARRO,APARTAMENTO,260000000,3.0,2.0,70.0,3.0,0,3,LOMA DEL BARRO,1,317
URBANIZACION DOÑA MARIA ROBLEDO,APARTAMENTO,450000000,3.0,2.0,87.0,1.0,2,4,ROBLEDO,1,437
LA AMERICA,APARTAMENTO,223000000,1.0,1.0,57.0,3.0,1,4,LA AMERICA,1,215
ALQUERIA DE SAN ISIDRO,APARTAMENTO,570000000,3.0,2.0,92.0,0.0,0,5,ALQUERIA DE SAN ISIDRO,1,12
EL DORADO,APARTAMENTO,380000000,3.0,2.0,84.0,2.0,1,3,EL DORADO,1,147
CAMINO VERDE,APARTAMENTO,880000000,3.0,3.0,116.0,1.0,2,5,CAMINO VERDE,1,80
AVES MARIA,APARTAMENTO,620000000,3.0,4.0,127.0,2.0,2,4,AVES MARIA,1,35
RODEO ALTO,APARTAMENTO,260000000,3.0,2.0,60.0,0.0,1,3,RODEO ALTO,1,440
CONQUISTADORES,APARTAESTUDIO,550000000,1.0,1.0,72.0,0.0,1,5,CONQUISTADORES,0,122
PORTATON DEL POBLADO,CASA,1300000000,4.0,4.0,226.0,3.0,4,6,EL POBLADO,2,156
ZUÑIGA,APARTAMENTO,790000000,3.0,3.0,140.0,1.0,2,5,ZUÑIGA,1,592
AVES MARIA,APARTAMENTO,480000000,3.0,2.0,85.0,0.0,1,4,AVES MARIA,1,35
ZUÑIGA,APARTAMENTO,610000000,3.0,2.0,140.0,0.0,0,5,ZUÑIGA,1,592
SAN GERMAN,APARTAMENTO,360000000,2.0,2.0,52.0,1.0,1,4,SAN GERMAN,1,457
EL CARMELO,APARTAMENTO,350000000,3.0,2.0,64.0,0.0,1,4,EL CARMELO,1,137
SURAMERICA,APARTAMENTO,340000000,3.0,2.0,70.0,0.0,1,4,SURAMERICA,1,501
MONTEAZUL,APARTAMENTO,530000000,3.0,2.0,79.0,0.0,2,4,MONTEAZUL,1,366
ZUÑIGA,APARTAMENTO,522000000,1.0,1.0,45.0,0.0,0,6,ZUÑIGA,1,592
SABANETA REAL,CASA,1300000000,4.0,4.0,370.0,2.0,2,4,SABANETA REAL,2,442
LOMA EL ATRAVESADO,CASA,1600000000,3.0,5.0,361.0,0.0,2,5,LOMA EL ATRAVESADO,2,322
EL CHOCHO,CASA,895000000,3.0,4.0,170.0,0.0,0,6,LOMA DEL CHOCHO,2,319
LAS BRISAS,APARTAMENTO,200000000,3.0,1.0,52.0,3.0,0,3,LAS BRISAS,1,286
SIMON BOLIVAR,CASA,570000000,5.0,3.0,165.0,3.0,1,5,SIMON BOLIVAR,2,498
TRES ESQUINAS,APARTAMENTO,590000000,3.0,2.0,91.0,1.0,2,4,TRES ESQUINAS,1,521
LOMA DEL INDIO,APARTAMENTO,370000000,2.0,2.0,58.0,3.0,1,4,LOMA DEL INDIO,1,320
CALASANZ,APARTAMENTO,208000000,2.0,1.0,42.0,0.0,0,4,CALASANZ,1,72
URBANIZACION MANESA,APARTAMENTO,123000000,2.0,1.0,48.0,3.0,0,2,URBANIZACION MANESA,1,538
LOMA DE LOS BERNAL,APARTAMENTO,290000000,3.0,2.0,65.0,0.0,0,3,LOMA DE LOS BERNAL,1,311
SAN GERMAN,APARTAMENTO,485000000,3.0,2.0,70.0,0.0,1,4,SAN GERMAN,1,457
LOMA DEL INDIO,APARTAMENTO,345000000,3.0,2.0,55.0,2.0,1,4,LOMA DEL INDIO,1,320
SAN JOSE,CASA,1300000000,4.0,4.0,350.0,0.0,2,5,CONJUNTO RESIDENCIAL SAN JOSE,2,121
TRES ESQUINAS,CASA,2200000000,5.0,6.0,520.0,0.0,1,4,TRES ESQUINAS,2,521
SANTA MONICA,APARTAMENTO,360000000,3.0,2.0,79.0,3.0,1,4,SANTA MONICA,1,484
SAN GERMAN,APARTAMENTO,470000000,4.0,2.0,87.0,2.0,1,4,SAN GERMAN,1,457
LA COLINA,APARTAMENTO,450000000,3.0,2.0,83.0,1.0,1,4,LA COLINA,1,233
SANTA MARIA NO. 1,APARTAMENTO,268000000,3.0,2.0,57.0,0.0,1,3,SANTA MARIA NO. 1,1,483
CALASANZ,APARTAMENTO,350000000,2.0,2.0,82.0,0.0,0,4,CALASANZ,1,72
SAN REMO,APARTAMENTO,460000000,3.0,2.0,89.0,1.0,2,4,SAN REMO,1,470
SABANETA PARQUE,APARTAMENTO,550000000,2.0,2.0,77.0,2.0,1,5,SABANETA,1,441
EL POBLADO,APARTAMENTO,795000000,1.0,2.0,88.0,1.0,2,6,ALTOS DEL POBLADO,1,17
PAN DE AZUCAR,CASA,960000000,4.0,3.0,330.0,0.0,3,4,PAN DE AZUCAR,2,393
ESMERALDAL,APARTAMENTO,590000000,3.0,2.0,100.0,0.0,1,5,EL ESMERALDAL,1,149
LOMA DEL INDIO,APARTAMENTO,280000000,3.0,2.0,57.0,2.0,0,4,LOMA DEL INDIO,1,320
LA FERRERIA,APARTAMENTO,428000000,3.0,2.0,66.0,1.0,1,4,LA FE,1,241
CIUDAD DEL RIO,APARTAMENTO,620000000,3.0,2.0,85.0,2.0,1,5,CIUDAD DEL RIO,1,108
BOMBONA NO.1,APARTAMENTO,260000000,1.0,2.0,50.0,0.0,0,4,BOMBONA NO.1,1,57
PRADO,APARTAMENTO,360000000,3.0,3.0,94.0,2.0,1,4,SAN ANTONIO DE PRADO,1,448
ENVIGADO,CASA,2800000000,5.0,5.0,389.0,1.0,8,5,ENVIGADO,2,174
LA DOCTORA,APARTAMENTO,500000000,3.0,2.0,91.0,0.0,1,4,LA DOCTORA,1,236
PONTEVEDRA,APARTAMENTO,325000000,2.0,1.0,65.0,2.0,1,5,PONTEVEDRA,1,415
CATALUÑA,CASA,250000000,4.0,2.0,70.0,3.0,0,3,CATALUÑA,2,97
SIMON BOLIVAR,CASA,570000000,5.0,3.0,165.0,0.0,0,4,SIMON BOLIVAR,2,498
URBANIZACION MANESA,APARTAMENTO,170000000,3.0,1.0,48.0,1.0,0,3,URBANIZACION MANESA,1,538
EL DORADO,APARTAMENTO,280000000,2.0,2.0,70.0,0.0,0,3,EL DORADO,1,147
BOSQUES DE SAN PABLO,APARTAMENTO,320000000,3.0,1.0,200.0,1.0,0,3,BOSQUES DE SAN PABLO,1,60
EL TRIANON,APARTAMENTO,420000000,3.0,2.0,68.0,2.0,1,4,EL TRIANON,1,167
EL POBLADO,APARTAMENTO,520000000,4.0,3.0,147.0,4.0,1,5,ALTOS DEL POBLADO,1,17
ALTAMIRA,CASA,250000000,5.0,2.0,109.0,2.0,0,3,ALTAMIRA,2,13
FLORENCIA,CASA,210000000,4.0,1.0,72.0,0.0,0,3,FLORENCIA,2,188
LAURELES,APARTAMENTO,1500000000,4.0,5.0,347347.0,3.0,2,5,LAURELES,1,303
TRICENTENARIO,APARTAMENTO,220000000,3.0,1.0,66.0,4.0,0,3,TRICENTENARIO,1,523
EL DORADO,APARTAMENTO,650000000,3.0,3.0,130.0,1.0,1,3,EL DORADO,1,147
LOMA EL ATRAVESADO,CASA,1250000000,4.0,5.0,162.0,1.0,2,5,LOMA EL ATRAVESADO,2,322
PRADO,APARTAMENTO,260000000,4.0,2.0,102.0,3.0,0,1,SAN ANTONIO DE PRADO,1,448
LA PILARICA,APARTAMENTO,460000000,3.0,3.0,102.0,0.0,1,5,LA PILARICA,1,268
CENTRO ADMINISTRATIVO,APARTAMENTO,235000000,2.0,2.0,49.0,1.0,0,4,CENTRO,1,101
LAS LOMITAS,APARTAMENTO,632000000,3.0,3.0,94.0,0.0,1,4,LAS LOMITAS,1,296
LA CANDELARIA,APARTAESTUDIO,330000000,3.0,3.0,214.0,0.0,1,4,LA CANDELARIA,0,226
BARRIO CRISTOBAL,APARTAMENTO,380000000,3.0,3.0,96.0,3.0,1,4,BARRIO CRISTOBAL,1,38
LAURELES,CASA,780000000,4.0,2.0,239.0,3.0,2,5,LAURELES,2,303
LA TABLAZA,APARTAMENTO,177000000,2.0,1.0,48.0,1.0,0,3,LA TABLAZA,1,276
LA PILARICA,APARTAMENTO,360000000,3.0,2.0,84.0,3.0,1,4,LA PILARICA,1,268
LAS PALMAS,APARTAMENTO,985000000,2.0,2.0,114.0,0.0,1,6,ABURRA SUR ALTO DE LAS PALMAS,1,2
MILAN VALLEJUELOS,APARTAMENTO,354000000,3.0,2.0,74.0,0.0,1,5,MILAN VALLEJUELOS,1,359
LA LOMA,CASA,100000000,2.0,1.0,67.0,1.0,0,2,LA LOMA DEL INDIO,2,254
SURAMERICA,APARTAMENTO,323500000,3.0,2.0,72.0,1.0,1,4,SURAMERICA,1,501
SURAMERICA,APARTAMENTO,490000000,2.0,2.0,77.0,0.0,1,4,SURAMERICA,1,501
ASDESILLAS,APARTAMENTO,435000000,3.0,2.0,76.0,0.0,1,4,ASDESILLAS,1,28
GUAYABAL,APARTAMENTO,320000000,3.0,2.0,125.0,3.0,0,3,GUAYABAL,1,197
LOMA DE LOS BERNAL,APARTAMENTO,530000000,2.0,2.0,89.0,1.0,1,5,LOMA DE LOS BERNAL,1,311
LA FINCA,APARTAMENTO,440000000,3.0,2.0,76.0,0.0,1,4,LA FINCA,1,243
CENTRO,APARTAMENTO,450000000,3.0,2.0,82.0,1.0,1,3,CENTRO,1,101
ENVIGADO,APARTAMENTO,600000000,3.0,2.0,85.0,1.0,1,4,ENVIGADO,1,174
SANTA ROSA DE LIMA,APARTAMENTO,90000000,2.0,1.0,43.0,3.0,1,2,SANTA ROSA DE LIMA,1,485
EL POBLADO,APARTAMENTO,960000000,3.0,4.0,128.0,1.0,2,5,ALTOS DEL POBLADO,1,17
ROBLEDO,APARTAMENTO,260000000,4.0,2.0,84.0,3.0,1,3,ROBLEDO,1,437
BUENOS AIRES,CASA,205000000,3.0,1.0,70.0,3.0,0,2,BUENOS AIRES,2,65
ROBLEDO LA CAMPIÑA,APARTAMENTO,170000000,3.0,2.0,80.0,3.0,0,3,ROBLEDO,1,437
LAS LOMITAS,APARTAMENTO,315000000,2.0,2.0,58.0,2.0,1,4,LAS LOMITAS,1,296
SABANETA REAL,APARTAMENTO,650000000,3.0,4.0,119.0,1.0,2,4,SABANETA REAL,1,442
COLOMBIA,APARTAESTUDIO,470000008,1.0,2.0,36.0,1.0,1,6,COLOMBIA,0,116
GUAYABAL,APARTAMENTO,335000000,2.0,2.0,50.0,1.0,1,4,GUAYABAL,1,197
BUENOS AIRES,APARTAESTUDIO,210000000,1.0,1.0,39.0,0.0,1,3,BUENOS AIRES,0,65
IRIZA,APARTAMENTO,477000000,3.0,2.0,100.0,3.0,2,4,IRIZA,1,202
ALTO LAS FLORES,APARTAMENTO,460000000,3.0,2.0,87.0,1.0,1,3,LAS FLORES,1,293
OTRAPARTE,APARTAMENTO,450000000,2.0,2.0,70.0,3.0,1,4,OTRAPARTE,1,388
VEREDA SAN JOSE,APARTAMENTO,550000000,3.0,2.0,80.1,0.0,1,4,VEREDA SAN JOSE,1,563
URBANIZACION METROPOLITANA,CASA,380000000,6.0,3.0,117.0,0.0,0,3,URBANIZACION METROPOLITANA,2,540
LAS FLORES,APARTAMENTO,315000000,3.0,2.0,72.0,2.0,1,4,LAS FLORES,1,293
ROBLEDO,APARTAMENTO,295000000,2.0,2.0,58.0,2.0,1,3,ROBLEDO,1,437
LA DOCTORA,APARTAMENTO,398000000,2.0,2.0,61.0,1.0,2,4,LA DOCTORA,1,236
RIO NEGRO,APARTAMENTO,400000000,3.0,2.0,120.0,2.0,0,4,RIO NEGRO,1,435
VEREDA SAN JOSE,APARTAMENTO,368000000,2.0,2.0,57.0,1.0,1,4,VEREDA SAN JOSE,1,563
LA FLORESTA,APARTAMENTO,380000000,3.0,2.0,73.0,4.0,1,4,LA FLORESTA,1,244
MESA,APARTAMENTO,1100000000,3.0,3.0,132.0,1.0,2,5,MESA,1,357
BELLAVISTA,CASA,1000000000,5.0,2.0,256.0,3.0,0,3,BELLAVISTA,2,50
LOS ANGELES,APARTAMENTO,300000000,3.0,2.0,74.0,3.0,1,5,SANTA MARIA DE LOS ANGELES,1,481
LA CASTELLANA,APARTAMENTO,540000000,3.0,2.0,138.0,2.0,1,5,LA CASTELLANA,1,228
LA CONCHA,APARTAMENTO,1200000000,3.0,4.0,205.0,0.0,0,6,LA CONCHA,1,234
URBANIZACION VILLA VENTURA,APARTAMENTO,270000000,3.0,2.0,53.0,1.0,1,3,URBANIZACION VILLA VENTURA,1,555
LOMA DE LAS BRUJAS,APARTAMENTO,750000000,3.0,4.0,134.0,1.0,2,6,LOMA DE LAS BRUJAS,1,309
SABANETA REAL,APARTAMENTO,450000000,3.0,2.0,76.0,0.0,1,4,SABANETA REAL,1,442
EL CORAZON,CASA,90000000,3.0,1.0,56.0,1.0,0,2,EL CORAZON,2,144
LAURELES,APARTAMENTO,720000000,3.0,3.0,120.0,1.0,2,5,LAURELES,1,303
LA CASTELLANA,APARTAMENTO,550000000,3.0,2.0,100.0,1.0,1,5,LA CASTELLANA,1,228
SANTA MONICA,APARTAMENTO,300000000,5.0,2.0,82.0,0.0,0,2,SANTA MONICA,1,484
SURAMERICA,APARTAMENTO,467000000,3.0,2.0,66.0,3.0,1,4,SURAMERICA,1,501
EL POBLADO,APARTAMENTO,660000000,3.0,2.0,88.0,1.0,1,4,ALTOS DEL POBLADO,1,17
PORTATON DEL POBLADO,CASA,1350000000,3.0,4.0,200.0,2.0,2,6,EL POBLADO,2,156
EL POBLADO,APARTAMENTO,320000000,2.0,2.0,70.0,0.0,0,5,ALTOS DEL POBLADO,1,17
LAURELES,APARTAMENTO,950000000,4.0,3.0,138.0,0.0,1,5,LAURELES,1,303
LA MAGNOLIA,APARTAMENTO,900000000,4.0,5.0,187.0,2.0,1,4,LA MAGNOLIA,1,258
BUENOS AIRES,CASA,345000000,5.0,3.0,120.0,0.0,1,3,BUENOS AIRES,2,65
CAMINO VERDE,APARTAMENTO,470000000,3.0,2.0,70.0,0.0,1,4,CAMINO VERDE,1,80
TRES ESQUINAS,APARTAMENTO,450000000,2.0,2.0,68.0,1.0,1,4,TRES ESQUINAS,1,521
CJ SAN MARCOS,APARTAMENTO,420000000,2.0,2.0,74.0,2.0,1,4,SAN MARCOS,1,463
LA ESTRELLA,APARTAMENTO,390000000,6.0,3.0,155.0,0.0,0,3,LA ESTRELLA,1,240
PRADOS DE SABANETA,CASA,1300000000,4.0,5.0,280.0,0.0,3,5,PRADOS DE SABANETA,2,422
SANTA LUCIA,CASA,380000000,6.0,3.0,117.0,0.0,0,3,SANTA LUCIA,2,478
COLEGIO SALVATORI,APARTAMENTO,220000000,1.0,1.0,47.0,1.0,1,2,COLEGIO SALVATORI,1,114
CENTRO,APARTAMENTO,230000000,3.0,2.0,52.0,0.0,0,4,CENTRO,1,101
ESCOBERO,CASA,5700000000,4.0,7.0,466.0,3.0,8,5,ESCOBERO,2,178
PUEBLO VIEJO,APARTAMENTO,305000000,2.0,2.0,62.0,2.0,1,4,PUEBLO VIEJO,1,425
LA MACARENA,APARTAMENTO,150000000,3.0,1.0,44.0,0.0,0,3,LA MACARENA,1,256
CALLE LARGA,APARTAMENTO,350000000,2.0,2.0,68.0,2.0,1,4,CALLE LARGA,1,76
CALASANZ,APARTAMENTO,580000000,3.0,2.0,82.0,0.0,1,4,CALASANZ,1,72
JARDINES,APARTAMENTO,890000000,3.0,4.0,147.0,2.0,2,4,JARDINES,1,204
LOMA EL ATRAVESADO,APARTAMENTO,550000000,3.0,2.0,91.0,1.0,1,4,LOMA EL ATRAVESADO,1,322
EL TRIANON,APARTAMENTO,460000000,3.0,2.0,73.0,2.0,1,4,EL TRIANON,1,167
PAN DE AZUCAR,APARTAMENTO,350000000,5.0,4.0,136.0,4.0,0,3,PAN DE AZUCAR,1,393
EL TRIANON,APARTAMENTO,380000000,3.0,2.0,65.0,1.0,1,4,EL TRIANON,1,167
EL ESMERALDAL,APARTAMENTO,520000000,3.0,2.0,91.0,2.0,1,5,EL ESMERALDAL,1,149
LA COLINA,CASA,186000000,3.0,2.0,93.0,2.0,0,3,LA COLINA,2,233
SAN FERNANDO,APARTAMENTO,259000000,3.0,3.0,82.0,1.0,0,3,SAN FERNANDO,1,453
KENNEDY,APARTAMENTO,500000000,5.0,3.0,170.0,2.0,0,3,KENNEDY,1,208
ROBLEDO,APARTAMENTO,180000000,2.0,1.0,77.0,4.0,0,2,ROBLEDO,1,437
LA FINCA,APARTAMENTO,345000000,2.0,2.0,67.0,1.0,1,4,LA FINCA,1,243
BUENOS AIRES,APARTAMENTO,250000000,3.0,2.0,62.0,2.0,0,3,BUENOS AIRES,1,65
LA GLORIA,APARTAMENTO,155000000,2.0,1.0,40.0,3.0,0,4,LA GLORIA,1,250
ITAGUI,APARTAMENTO,295000000,2.0,2.0,62.0,1.0,1,4,ITAGUI,1,203
SANTA FE,APARTAMENTO,400000000,3.0,2.0,95.0,3.0,0,3,SANTA FE,1,475
LOMA DE LAS BRUJAS,APARTAMENTO,800000000,3.0,4.0,128.0,1.0,2,6,LOMA DE LAS BRUJAS,1,309
EL ESMERALDAL,APARTAMENTO,550000000,2.0,2.0,79.0,0.0,1,5,EL ESMERALDAL,1,149
PORVENIR,APARTAMENTO,240000000,3.0,2.0,59.0,1.0,0,3,PORVENIR,1,419
MESA,CASA,1600000000,4.0,3.0,281.0,3.0,6,6,MESA,2,357
MESA,APARTAMENTO,336000000,3.0,2.0,68.0,3.0,1,4,MESA,1,357
CALASANZ,APARTAMENTO,370000000,3.0,2.0,94.0,3.0,1,5,CALASANZ,1,72
LOMA DEL ESCOBERO,CASA,4000000000,5.0,7.0,790.0,2.0,2,6,ESCOBERO,2,178
ARANJUEZ,APARTAMENTO,290000000,3.0,2.0,69.0,1.0,0,3,ARANJUEZ,1,24
CENTRO DE LA MODA,APARTAMENTO,225000000,2.0,2.0,58.0,0.0,1,3,CENTRO,1,101
LA PILARICA,APARTAMENTO,400000000,3.0,2.0,75.0,1.0,1,5,LA PILARICA,1,268
CAÑAVERALEJO,APARTAMENTO,440000000,3.0,2.0,81.0,1.0,1,4,CAÑAVERALEJO,1,98
LOMA DEL ESMERALDAL,CASA,1290000000,4.0,3.0,220.0,2.0,2,5,EL ESMERALDAL,2,149
LOMA DEL ESCOBERO,APARTAMENTO,480000000,4.0,3.0,100.0,3.0,2,5,ESCOBERO,1,178
ORENSE,APARTAMENTO,850000000,3.0,4.0,152.0,0.0,1,5,ORENSE,1,383
BARRIO CRISTOBAL,APARTAESTUDIO,240000000,1.0,1.0,52.0,1.0,1,4,BARRIO CRISTOBAL,0,38
BUENOS AIRES,CASA,235000000,3.0,2.0,71.0,3.0,0,3,BUENOS AIRES,2,65
LOMA DEL INDIO,APARTAMENTO,260000000,2.0,1.0,52.0,1.0,0,4,LOMA DEL INDIO,1,320
CENTRO ADMINISTRATIVO,APARTAMENTO,475000000,4.0,3.0,212.0,4.0,1,4,CENTRO,1,101
SAN DIEGO,APARTAMENTO,550000000,3.0,2.0,70.0,0.0,1,5,SAN DIEGO,1,452
LA MILAGROSA,APARTAMENTO,325000000,4.0,2.0,100.0,0.0,1,4,LA MILAGROSA,1,261
EL POBLADO,APARTAMENTO,950000000,2.0,2.0,92.0,0.0,2,6,ALTOS DEL POBLADO,1,17
BUENOS AIRES,APARTAMENTO,155000000,2.0,1.0,40.0,0.0,0,3,BUENOS AIRES,1,65
BOSTON,APARTAMENTO,210000000,3.0,2.0,74.0,1.0,0,3,BOSTON,1,61
ZUÑIGA,APARTAMENTO,651400000,2.0,2.0,72.0,0.0,1,5,ZUÑIGA,1,592
LAS ACACIAS,APARTAMENTO,310000000,2.0,2.0,64.0,1.0,1,3,LAS ACACIAS,1,283
EL CHINGUI,APARTAMENTO,435000000,3.0,2.0,66.0,2.0,1,4,EL CHINGUI,1,141
DITAIRES,APARTAMENTO,332000000,3.0,2.0,64.0,1.0,1,4,DITAIRES,1,129
BUENOS AIRES,CASA,265000000,3.0,2.0,80.0,0.0,0,3,BUENOS AIRES,2,65
LOMA DE LAS BRUJAS,APARTAMENTO,1800000000,3.0,5.0,250.0,2.0,2,5,LOMA DE LAS BRUJAS,1,309
PILSEN,APARTAMENTO,275000000,3.0,2.0,67.0,0.0,1,3,PILSEN,1,409
LA MAGNOLIA,APARTAMENTO,305000000,3.0,2.0,72.0,3.0,1,4,LA MAGNOLIA,1,258
EL CHAGUALO,APARTAMENTO,187000000,3.0,1.0,42.0,0.0,0,3,EL CHAGUALO,1,140
LA PILARICA,APARTAMENTO,415000000,3.0,3.0,114.0,4.0,1,5,LA PILARICA,1,268
PRADO,APARTAMENTO,213000000,3.0,2.0,51.0,0.0,0,4,SAN ANTONIO DE PRADO,1,448
JARDINES,APARTAMENTO,535000000,3.0,2.0,85.0,3.0,1,5,JARDINES,1,204
EL POBLADO,APARTAMENTO,620000000,3.0,2.0,86.0,1.0,1,5,ALTOS DEL POBLADO,1,17
LA PILARICA,CASA,510000000,4.0,3.0,131.0,3.0,2,5,LA PILARICA,2,268
LA AMERICA,CASA,800000000,6.0,4.0,206.0,4.0,0,5,LA AMERICA,2,215
EL DORADO,APARTAMENTO,390000000,3.0,2.0,79.0,3.0,0,6,EL DORADO,1,147
SAN PABLO,CASA,330000000,4.0,3.0,122.0,4.0,0,4,BOSQUES DE SAN PABLO,2,60
ESTADIO,CASA,1400000000,6.0,4.0,237.0,4.0,1,5,ESTADIO,2,181
ANCON SUR,APARTAMENTO,380000000,3.0,2.0,68.0,0.0,1,3,ANCON SUR,1,21
EL TESORO,APARTAMENTO,1550000000,3.0,3.0,198.0,2.0,2,6,EL TESORO,1,165
URBANIZACION VILLA VENTURA,APARTAMENTO,260000000,3.0,2.0,56.0,1.0,1,3,URBANIZACION VILLA VENTURA,1,555
SIMON BOLIVAR,APARTAMENTO,570000000,5.0,3.0,173.0,0.0,1,5,SIMON BOLIVAR,1,498
TRES ESQUINAS,APARTAMENTO,185000000,2.0,1.0,55.0,0.0,0,3,TRES ESQUINAS,1,521
VIVIENDAS DEL SUR,APARTAMENTO,260000000,3.0,2.0,50.0,1.0,1,3,VIVIENDAS DEL SUR,1,582
PRADO,CASA,375000000,7.0,2.0,143.0,1.0,0,3,SAN ANTONIO DE PRADO,2,448
DITAIRES,APARTAMENTO,350000000,3.0,2.0,67.0,1.0,1,3,DITAIRES,1,129
BUENOS AIRES,APARTAMENTO,245000000,3.0,1.0,73.0,4.0,1,3,BUENOS AIRES,1,65
SAN JAVIER,APARTAMENTO,250000000,3.0,1.0,57.0,2.0,0,3,SAN JAVIER,1,458
VILLAS DEL CARMEN,APARTAMENTO,410000000,3.0,3.0,74.0,2.0,1,3,VILLAS DEL CARMEN,1,577
SABANETA REAL,APARTAMENTO,367000000,2.0,2.0,76.0,1.0,1,3,SABANETA REAL,1,442
LA INMACULADA,APARTAMENTO,235000000,2.0,2.0,49.0,1.0,1,3,LA INMACULADA,1,252
LOMA DEL BARRO,CASA,750000000,3.0,3.0,86.0,3.0,1,4,LOMA DEL BARRO,2,317
MIRAFLORES,APARTAMENTO,240000000,3.0,2.0,58.0,0.0,0,3,MIRAFLORES,1,362
RODEO ALTO,APARTAMENTO,270000000,2.0,2.0,56.0,1.0,1,4,RODEO ALTO,1,440
MEDELLIN,APARTAMENTO,2500000000,3.0,4.0,304.0,1.0,3,6,PRADO CENTRO MEDELLIN,1,421
LOMA DEL ESMERALDAL,APARTAMENTO,1054000000,3.0,4.0,199.0,0.0,0,5,EL ESMERALDAL,1,149
SIMON BOLIVAR,APARTAMENTO,350000000,3.0,2.0,70.0,0.0,0,3,SIMON BOLIVAR,1,498
LOS ANGELES,APARTAMENTO,235000000,3.0,2.0,65.0,1.0,0,4,SANTA MARIA DE LOS ANGELES,1,481
LAURELES OCCIDENTE,APARTAMENTO,815000000,4.0,4.0,195.0,4.0,2,5,LAURELES,1,303
MANUEL URIBE,APARTAMENTO,470000000,4.0,2.0,130.0,3.0,0,2,MANUEL URIBE,1,353
SAN MIGUEL,APARTAMENTO,186000000,3.0,2.0,52.0,1.0,0,3,SAN MIGUEL,1,466
ROBLEDO,APARTAMENTO,165000000,3.0,2.0,53.0,0.0,0,3,ROBLEDO,1,437
LAURELES,APARTAMENTO,530000000,3.0,2.0,84.0,0.0,1,5,LAURELES,1,303
LOS ALCAZARES,APARTAMENTO,380000000,3.0,2.0,65.0,1.0,1,3,LOS ALCAZARES,1,329
LA LOMA,CASA,350000000,3.0,2.0,100.0,3.0,0,2,LA LOMA DEL INDIO,2,254
BELEN SAN BERNARDO,APARTAMENTO,330000000,4.0,3.0,112.0,3.0,0,3,BELEN,1,44
BELEN,APARTAESTUDIO,260000000,3.0,2.0,55.0,3.0,1,3,BELEN,0,44
ALCALA,APARTAMENTO,650000000,3.0,2.0,110.0,1.0,2,5,ALCALA,1,6
LAURELES,CASA,1150000000,3.0,4.0,350.0,0.0,1,5,LAURELES,2,303
LA FLORESTA,CASA,460000000,4.0,3.0,160.0,3.0,0,4,LA FLORESTA,2,244
CIUDAD DEL RIO,APARTAMENTO,655000000,2.0,2.0,71.0,0.0,1,5,CIUDAD DEL RIO,1,108
LA OSPINA,APARTAMENTO,240000000,2.0,2.0,58.0,0.0,0,3,LA OSPINA,1,266
LOMA DEL BARRO,APARTAMENTO,1300000000,4.0,6.0,306.0,2.0,4,4,LOMA DEL BARRO,1,317
EL POBLADO,APARTAMENTO,860000000,9.0,5.0,300.0,3.0,1,3,ALTOS DEL POBLADO,1,17
EL PORTAL,APARTAMENTO,490000000,3.0,2.0,98.0,4.0,1,5,EL PORTAL,1,157
LOMA DEL INDIO,APARTAMENTO,365000000,3.0,2.0,71.0,0.0,1,4,LOMA DEL INDIO,1,320
ASOMADERA NO.2,CASA,3500000000,4.0,6.0,487.0,1.0,3,6,ASOMADERA NO.2,2,29
CABAÑITAS,APARTAMENTO,229000000,2.0,1.0,58.0,1.0,1,4,CABAÑITAS,1,68
LA DOCTORA,APARTAMENTO,380000000,3.0,2.0,94.0,0.0,0,3,LA DOCTORA,1,236
BELEN,APARTAMENTO,760000000,3.0,2.0,141.0,0.0,1,5,BELEN,1,44
LA FERRERIA,APARTAMENTO,400000000,2.0,2.0,61.0,1.0,1,4,LA FE,1,241
TRINIDAD,APARTAMENTO,188000000,3.0,1.0,80.0,0.0,0,3,TRINIDAD,1,524
EL CHINGUI,APARTAMENTO,390000000,3.0,2.0,75.0,0.0,1,4,EL CHINGUI,1,141
ASDESILLAS,APARTAMENTO,580000000,3.0,2.0,85.0,2.0,1,4,ASDESILLAS,1,28
SURAMERICA,APARTAMENTO,545000000,2.0,2.0,88.0,1.0,1,4,SURAMERICA,1,501
CAMINO VERDE,APARTAMENTO,435000000,3.0,2.0,94.0,0.0,0,5,CAMINO VERDE,1,80
EL CAMPESTRE,APARTAMENTO,1900000000,2.0,2.0,203.0,1.0,2,6,LOMA DEL CAMPESTRE,1,318
LA CUENCA,CASA,760000000,4.0,4.0,146.0,3.0,2,4,LA CUENCA,2,235
ALTO DE LAS PALMAS,CASA,3500000000,5.0,5.0,4318.0,0.0,1,6,ABURRA SUR ALTO DE LAS PALMAS,2,2
EL CHINGUI,APARTAMENTO,480000000,3.0,2.0,82.0,1.0,1,4,EL CHINGUI,1,141
LAURELES,APARTAMENTO,680000000,3.0,2.0,112.0,1.0,1,5,LAURELES,1,303
