neighbourhood,latitude,longitude,property_type,price,rooms,baths,area,administration_price,age,garages,stratum
El Tesoro,6.200718699999999,-75.58461319999999,Apartamento,780000000,5,4,143.0,733000.0,3.0,2,6
Loma de las brujas,6.1617178,-75.5789599,Casa,700000000,3,2,133.0,434000.0,1.0,2,6
Santa teresita,6.2411664,-75.6075309,Apartamento,325000000,2,2,53.0,240000.0,1.0,1,4
Loma del atravezado,6.167286499999999,-75.5836963,Casa,1100000000,3,4,196.0,0.0,,,6
San Diego,6.229741499999999,-75.5697319,Apartamento,620000000,2,2,76.0,275000.0,1.0,1,6
Ciudad del Río,6.222486399999999,-75.5733225,Apartamento,665000000,2,3,79.0,330000.0,1.0,1,6
Boston,6.2476376,-75.56581530000001,Casa,800000000,7,3,270.0,0.0,4.0,2,3
La Tablaza,6.116639999999999,-75.64997,Apartamento,180000000,2,1,46.0,120000.0,1.0,1,3
Oriente Antioqueño V El Tambo,5.9009477,-75.444469,Casa,948952000,3,4,240.0,230000.0,1.0,2,5
Robledo,6.291014,-75.5871066,Apartamento,166000000,2,1,46.0,71000.0,2.0,,3
URBANIZACION MONTEBELLO,6.167286499999999,-75.5836963,Casa,3500000000,3,3,310.0,0.0,2.0,,6
Urbanizacion los naranjos,6.162581599999999,-75.6227201,Casa,350000000,5,2,140.0,120000.0,4.0,1,3
maria auxiliadora,6.1538973,-75.6032929,Apartamento,225000000,3,2,60.0,0.0,3.0,,2
las lomitas,6.1462524,-75.6095022,Apartamento,480000000,3,3,89.0,0.0,1.0,2,4
Poblado Loma Del Encierro,6.2232422,-75.5664187,Apartamento,780000000,3,3,109.0,522000.0,1.0,2,5
Prado,6.2541112,-75.5596403,Casa,370000000,5,3,142.0,0.0,,,4
loma de las Brujas,6.1628066,-75.5767025,Apartamento,620000000,1,2,100.0,425000.0,1.0,1,6
aves maría,6.1472302,-75.6124887,Apartamento,560000000,3,2,92.0,0.0,1.0,2,4
Santa maria no. 1,6.1681832,-75.6190324,Apartamento,290000000,3,2,60.0,170000.0,3.0,1,3
Loma de las brujas,6.1663737,-75.5820556,Apartamento,1650000000,3,3,262.0,990000.0,1.0,3,6
Belén,6.259472799999999,-75.6192255,Apartamento,220000000,3,1,84.0,0.0,2.0,,2
Santa catalina,6.164277299999999,-75.6307016,Apartamento,339000000,3,2,60.0,378000.0,1.0,1,4
Loma del Chocho,6.167535099999999,-75.5712013,Apartamento,550000000,2,2,77.0,155000.0,0.0,1,5
Tres Esquinas,6.1792444,-75.585255,Apartamento,507000000,3,2,77.0,0.0,0.0,1,4
Calasanz parte alta,6.2638612,-75.5996894,Apartamento,285000000,2,2,50.0,151600.0,2.0,,5
San Germ n,6.258954300000001,-75.6093557,Apartamento,480000000,3,2,68.0,0.0,1.0,1,4
El trianon,6.155107999999999,-75.5964503,Apartamento,330000000,3,2,62.0,0.0,1.0,1,4
DITAIRES,6.1681832,-75.6190324,Apartamento,365000000,3,2,74.0,226000.0,,1,4
Camino Verde,6.1492827,-75.5761376,Apartamento,920000000,4,4,130.0,840000.0,1.0,2,5
Santa lucia,6.260200999999999,-75.6041954,Apartamento,580000000,3,2,76.0,262000.0,,,5
Calasanz,6.2490812,-75.5599522,Apartamento,720000000,3,2,99.0,370000.0,1.0,2,4
Santa Mónica,6.2509344,-75.6191043,Apartamento,330000000,3,2,75.5,224000.0,3.0,1,4
Laureles,6.232189,-75.5995788,Apartamento,390000000,3,2,93.4,175000.0,3.0,1,4
Suramerica,6.164329599999999,-75.62860549999999,Apartamento,320000000,3,2,76.0,0.0,1.0,1,4
El dorado,6.161139,-75.586402,Apartamento,260000000,3,2,78.0,150000.0,,,3
Calasanz,6.2669994,-75.60096899999999,Casa,590000000,3,2,120.0,325000.0,4.0,1,5
San miguel,6.1189914,-75.6360515,Apartamento,245000000,3,2,53.0,172000.0,1.0,1,3
Las Cometas,6.167286499999999,-75.5836963,Apartamento,425000000,2,2,77.0,0.0,,,4
La frontera,6.182223899999999,-75.5764975,Apartamento,900000000,3,3,135.0,550000.0,3.0,2,6
Fac. de veterinaria y zootecnia de la u.,6.2735058,-75.5873438,Apartamento,420000000,3,2,87.0,0.0,,2,5
Los Colores,6.2660912,-75.5932851,Apartamento,560000000,4,2,140.0,0.0,,1,4
Loma Del Escobero,6.167286499999999,-75.5836963,Casa,3200000000,4,5,400.0,429000.0,,,6
La pradera,6.1669426,-75.578429,Apartamento,400000000,3,2,100.0,249250.0,2.0,1,3
LOMA DEL ATRAVESADO,6.1714426,-75.5654806,Casa,880000000,4,4,198.0,620000.0,2.0,2,6
el dorado,6.1672099,-75.58851469999999,Apartamento,820000000,3,3,123.0,406000.0,1.0,2,4
Loma del Indio,6.2476376,-75.56581530000001,Apartamento,395000000,3,2,80.0,321000.0,2.0,1,4
Suramericana,6.253722799999999,-75.5807086,Apartamento,600000000,3,2,156.0,447000.0,,1,5
La pradera,6.2585006,-75.6110272,Apartamento,210000000,3,2,85.0,0.0,3.0,,3
El danubio,6.2420559,-75.572186,Apartamento,420000000,3,,112.0,0.0,,,4
Pe�as blancas,6.1189047,-75.6352792,Apartamento,223000000,2,2,56.0,0.0,,,4
Bucarest,6.173081199999999,-75.58406959999999,Casa,570000000,4,3,160.0,0.0,,1,3
Loma de las brujas,6.1518782,-75.5639843,Casa,3000000000,4,7,4200.0,700000.0,,1,5
La Aldea,6.151144899999999,-75.636623,Casa,170000000,2,1,70.0,0.0,1.0,,3
ITAGUI,6.1681832,-75.6190324,Apartamento,248000000,3,2,53.0,149400.0,1.0,,3
Palmas,6.167286499999999,-75.5836963,Apartamento,1600000000,2,3,190.0,650000.0,1.0,2,4
El Poblado,6.209064499999999,-75.5676977,Apartamento,759000000,4,4,130.0,555000.0,,2,6
Castropol,6.2191831,-75.5676522,Apartamento,720000000,3,3,125.0,500000.0,1.0,2,6
Tres esquinas,6.1458755,-75.62225219999999,Apartamento,307000000,2,2,57.0,231000.0,1.0,1,4
San german,6.2648123,-75.5877422,Apartamento,495000000,3,2,81.0,328366.0,1.0,1,4
El Poblado,6.2036352,-75.5670724,Apartamento,2400000000,3,4,351.0,1250000.0,3.0,3,6
Envigado,6.166091499999999,-75.57639549999999,Casa,1200000000,4,4,280.0,0.0,3.0,1,5
Belen,6.2049609,-75.6013877,Apartamento,290000000,3,2,62.0,0.0,1.0,1,4
Barrio Cristóbal,6.2447262,-75.6134258,Apartamento,660000000,3,4,147.0,0.0,1.0,1,5
San marcos,6.1754972,-75.58631559999999,Apartamento,780000000,4,2,187.0,0.0,1.0,,3
Los angeles,6.248954599999999,-75.5556167,Apartamento,280000000,2,2,58.0,0.0,3.0,1,4
El dorado,6.1630069,-75.58554760000001,Casa,750000000,4,4,151.0,462000.0,,2,4
Los Almendros,6.1592372,-75.5987743,Apartamento,395000000,3,2,65.0,0.0,,1,5
San Javier,6.259022,-75.61571099999999,Apartamento,255000000,2,2,51.0,167446.0,,,3
Laureles,6.2315137,-75.5914068,Apartamento,310000000,3,2,82.0,0.0,1.0,,3
Aranjuez,6.277849400000001,-75.5640836,Casa,250000000,3,3,140.0,0.0,1.0,,2
Las americas,6.1744153,-75.6059374,Apartamento,275000000,2,1,62.0,0.0,1.0,,3
Pan de azucar,6.1504856,-75.61687859999999,Apartamento,370000000,2,2,64.0,250000.0,,1,4
MESA,6.165429,-75.5835618,Apartamento,360000000,4,2,104.0,30000.0,2.0,1,3
Envigado,6.167286499999999,-75.5836963,Apartamento,330000000,3,2,62.0,0.0,3.0,1,3
BELEN ROSALES,6.235876999999999,-75.59212409999999,Apartamento,730000000,3,4,120.0,0.0,0.0,1,3
Calasanz,6.2695601,-75.608969,Apartamento,470000000,3,2,84.0,350000.0,2.0,1,4
LAS COMETAS,6.173867599999999,-75.5808339,Apartamento,345000000,3,2,62.0,289000.0,2.0,1,4
Señorial,6.1593535,-75.5989979,Apartamento,270000000,3,2,70.0,0.0,3.0,,3
Caminos de la romeria,6.1435965,-75.6070099,Apartamento,380000000,3,2,76.0,200000.0,0.0,1,4
pan de azucar,6.1463322,-75.6272175,Apartamento,410000000,2,2,74.0,320000.0,1.0,2,4
Calasanz,6.269629399999999,-75.6089527,Apartamento,550000000,3,2,85.0,347500.0,1.0,1,4
Robledo la Aurora,6.281082,-75.61432099999999,Apartamento,139000000,3,1,45.0,0.0,,,2
Loma de San Jose,6.1504856,-75.61687859999999,Apartamento,507900000,3,2,102.0,300000.0,1.0,1,4
Asomadera no.2,6.225461399999999,-75.56104909999999,Apartamento,700000000,2,2,80.0,340000.0,1.0,1,4
Las playas,6.2476376,-75.56581530000001,Apartamento,460000000,3,4,210.0,1193000.0,4.0,1,4
las lomitas,6.148882,-75.60918099999999,Apartamento,490000000,3,2,80.0,0.0,1.0,,3
Cumbres,6.167286499999999,-75.5836963,Apartamento,610000000,2,2,89.0,0.0,,,5
Manrique Central,6.2646926,-75.55763139999999,Apartamento,190000000,2,2,54.0,0.0,1.0,,3
Loma del Indio,6.2292663,-75.5630018,Apartamento,360000000,2,3,75.0,0.0,2.0,1,6
Zuñiga,6.1854733,-75.5817075,Apartamento,710000000,3,2,118.0,743000.0,1.0,1,5
El portal,6.169787299999999,-75.5914047,Apartamento,400000000,4,2,110.0,0.0,3.0,,4
loma san José,6.1422719,-75.6184911,Casa,1500000000,5,5,402.0,380000.0,3.0,2,4
Calasanz,6.2476376,-75.56581530000001,Apartaestudio,301000000,1,1,52.0,140288.0,1.0,,4
Calasanz parte alta,6.2700134,-75.60748199999999,Apartamento,300000000,3,2,54.0,194000.0,2.0,1,4
Castropol,6.2161401,-75.56697,Apartamento,900000000,3,4,230.0,650000.0,3.0,2,6
Pan de azucar,6.1519206,-75.6137808,Apartamento,320000000,2,2,74.0,193225.0,0.0,,4
ENVIGADO,6.167286499999999,-75.5836963,Casa,2800000000,3,5,331.0,1077000.0,1.0,4,5
Las antillas,6.154180500000001,-75.585318,Apartamento,270000000,3,1,84.0,0.0,3.0,,2
Trece de noviembre,6.248358,-75.5430623,Casa,1150000000,4,4,229.0,680000.0,,2,6
El Poblado,6.2476376,-75.56581530000001,Apartamento,845000000,3,2,120.0,645000.0,3.0,1,6
SANTA TERESITA,6.244597799999999,-75.6104828,Casa,620000000,4,3,202.0,0.0,3.0,1,5
Camino Verde,6.1548494,-75.57373679999999,Apartamento,550000000,2,2,70.0,0.0,0.0,2,4
san Jose,6.1339488,-75.61905279999999,Apartamento,260000000,3,2,57.0,115000.0,3.0,,3
La Pilarica,6.275701,-75.5835694,Apartamento,355000000,2,2,67.0,0.0,1.0,1,5
la America,6.251819299999999,-75.6081288,Apartamento,260000000,2,2,65.0,0.0,2.0,,4
Zuñiga,6.1826781,-75.57552009999999,Apartamento,432000000,4,3,85.0,370000.0,3.0,1,6
La Pilarica,6.2761135,-75.58486909999999,Apartamento,180000000,2,1,45.0,0.0,1.0,,4
El chingui,6.1538565,-75.5764296,Apartamento,495000000,3,2,76.0,330000.0,2.0,1,4
Loma de San Jose,6.1339488,-75.61905279999999,Apartamento,265000000,3,2,57.0,150000.0,1.0,1,2
Santa fe,6.2227431,-75.58129029999999,Apartamento,499000000,2,2,65.0,300000.0,1.0,1,5
Monteazul,6.1458755,-75.62225219999999,Apartamento,375000000,3,2,68.0,290000.0,1.0,1,4
La paz,6.162069499999999,-75.5938919,Apartamento,330000000,2,2,65.0,0.0,1.0,,3
Los Almendros,6.1578059,-75.5980069,Apartaestudio,340000000,3,2,57.0,250000.0,1.0,1,3
Alqueria de san isidro,6.166923000000001,-75.583349,Apartamento,650000000,4,2,155.0,0.0,4.0,,3
San jose,6.1467744,-75.61951739999999,Apartamento,391800000,3,3,105.0,50000.0,1.0,1,3
La pradera,6.1636982,-75.5718125,Casa,630000000,3,3,117.0,350000.0,3.0,2,5
El Poblado,6.2034815,-75.5716589,Apartamento,2400000000,3,3,240.0,1302600.0,,1,6
La mina,6.153007,-75.5833782,Apartamento,215000000,3,2,55.0,180000.0,2.0,,3
Cumbres,6.167286499999999,-75.5836963,Apartamento,510000000,3,2,90.0,0.0,,,4
Escobero,6.1620898,-75.5685802,Apartamento,800000000,3,3,106.0,330000.0,1.0,3,5
Quintas del cerro,6.1659383,-75.569364,Casa,800000000,3,3,217.0,0.0,1.0,4,5
Loma de los Bernal,6.219244199999999,-75.60538880000001,Apartamento,515000000,3,2,87.0,320000.0,,1,5
Ditaires,6.172392500000001,-75.62954409999999,Apartamento,260000000,2,2,56.0,0.0,,1,3
Brujas,6.1663737,-75.5820556,Apartamento,540000000,3,2,116.0,458000.0,2.0,2,5
Laureles,6.2438283,-75.611352,Apartamento,1000000000,3,3,124.4,0.0,1.0,2,5
Alqueria de san isidro,6.1629756,-75.5766775,Apartaestudio,650000000,1,2,84.0,427000.0,1.0,2,5
Centroccidental Calasanz,6.260915799999999,-75.5989846,Apartamento,385000000,3,2,89.0,298500.0,,1,5
Centro,6.2513368,-75.5646009,Apartamento,295000000,3,2,127.0,403000.0,3.0,,4
LOMA DEL ATRAVESADO,6.1670979,-75.5648921,Casa,1500000000,3,4,290.0,714000.0,2.0,2,6
Tres esquinas,6.1437572,-75.622483,Apartamento,470000000,2,2,78.0,320000.0,,,4
Santa Lucía,6.260430299999999,-75.6045906,Apartamento,179500000,3,1,75.0,0.0,2.0,,3
Simon Bolivar,6.178616099999999,-75.5985783,Apartamento,370000000,4,2,76.0,0.0,1.0,,3
Alqueria de san isidro,6.1654161,-75.5789422,Apartamento,770000000,2,2,96.0,370000.0,1.0,1,5
POLARIS APARTAMENTOS,6.165717799999999,-75.6462207,Apartamento,310000000,3,2,62.0,0.0,2.0,1,4
Nazareth,6.2830453,-75.6077129,Casa,220000000,3,2,85.0,0.0,1.0,,3
San Jose,6.166194399999999,-75.6157376,Apartamento,280000000,3,2,86.0,0.0,,,3
La pilarica,6.2158314,-75.6042439,Casa,195000000,4,3,100.0,0.0,,,3
Los gomez,6.1869016,-75.5942556,Apartamento,320000000,2,2,60.0,175000.0,,1,3
La florida,6.1538017,-75.6072793,Apartamento,400000000,3,2,74.0,300000.0,1.0,1,3
envigado,6.1728776,-75.58016099999999,Apartamento,280000000,4,2,120.0,292000.0,3.0,1,4
Las Brisas,6.1504856,-75.61687859999999,Casa,1500000000,4,3,200.0,600000.0,1.0,5,5
Medellín,6.196399,-75.5578695,Apartamento,550000000,2,2,105.0,650000.0,3.0,2,6
Belén,6.2066608,-75.6020539,Apartamento,265000000,3,2,59.0,171300.0,,1,4
Los Colores,6.2644654,-75.59046839999999,Apartamento,295000000,3,2,63.0,176000.0,2.0,,5
Calasanz,6.271100499999999,-75.6023553,Apartamento,250000000,3,2,56.0,0.0,,,3
Escobero,6.1625301,-75.5741925,Apartamento,750000000,3,4,125.0,500000.0,2.0,2,5
Loma del barro,6.1592372,-75.5987743,Apartamento,350000000,3,2,63.0,295000.0,2.0,1,4
CALLE NUEVA,6.1499877,-75.6229062,Apartamento,360000000,3,2,65.0,240000.0,1.0,,3
cumbres,6.168855499999999,-75.5722299,Apartamento,550000000,2,2,74.0,448000.0,2.0,2,5
Triana,6.1674737,-75.6319583,Apartamento,322000000,3,2,59.0,0.0,0.0,1,4
Villatina,6.2363906,-75.5451239,Apartamento,350000000,3,1,82.0,0.0,4.0,,3
Vegas de la doctora,6.1447208,-75.6108806,Casa,1500000000,5,6,550.0,770000.0,2.0,3,4
Guayabal,6.1951038,-75.59229839999999,Apartamento,250000000,3,2,67.0,159000.0,4.0,,3
Escobero,6.166091499999999,-75.57639549999999,Casa,790000000,5,4,182.0,428000.0,,1,5
Ditaires,6.1674737,-75.6319583,Apartamento,400000000,3,2,71.0,190000.0,,1,3
Loma del Escobero,6.167286499999999,-75.5836963,Apartamento,730000000,3,2,100.0,0.0,,,5
El portal,6.1756306,-75.5903318,Apartamento,1855710000,3,4,206.0,500000.0,1.0,2,6
AMERICA,6.250749,-75.60775799999999,Casa,500000000,7,4,160.0,0.0,,,3
SURAMERICA,6.1622249,-75.630489,Apartamento,590000000,2,2,77.0,0.0,1.0,1,4
Las palmas,6.219561800000001,-75.5665475,Apartamento,450000000,3,2,74.0,0.0,1.0,1,5
Los Almendros,6.1569186,-75.5980146,Apartamento,540000000,3,2,93.0,360000.0,1.0,2,4
La aguacatala,6.2476376,-75.56581530000001,Apartamento,470000000,3,2,71.0,404000.0,3.0,1,5
las lomitas,6.1483428,-75.61007289999999,Apartamento,400000000,3,2,84.0,0.0,0.0,1,4
El Cebadero,6.167286499999999,-75.5836963,Casa,2700000000,,,2400.0,0.0,,,4
San german,6.2687936,-75.5900127,Apartamento,370000000,2,2,53.0,237000.0,,1,4
Los Balsos,6.238727400000001,-75.5556198,Apartamento,550000000,2,3,105.0,697000.0,3.0,2,5
el chingui,6.153564299999999,-75.57514309999999,Apartamento,450000000,3,2,79.0,274590.0,1.0,1,4
El trianon,6.1582567,-75.59427710000001,Apartamento,360000000,3,2,71.0,300000.0,2.0,1,4
Alto de las Palmas,6.154057099999999,-75.5324606,Casa,4200000000,4,3,420.0,1200000.0,3.0,2,5
San lucas,6.1732849,-75.5632747,Apartamento,1350000000,4,5,260.0,850000.0,1.0,2,5
iNTERMEDIA,6.1737798,-75.5691894,Apartamento,630000000,3,2,87.0,390000.0,1.0,2,5
Chingí,6.15452,-75.5741604,Apartamento,480000000,3,2,82.0,390000.0,,1,4
El Salvador,6.2394305,-75.56198309999999,Apartamento,260000000,4,1,73.0,0.0,3.0,,3
Guayabal,6.2055709,-75.5830897,Apartamento,450000000,3,2,116.0,0.0,1.0,,4
Loma el atravesado,6.175634,-75.5633543,Casa,880000000,5,4,209.0,0.0,2.0,,3
Vegas de la doctora,6.1495215,-75.617415,Apartamento,670000000,3,4,130.0,410000.0,2.0,1,5
Los Colores,6.220367,-75.6009546,Apartamento,550000000,3,2,154.0,0.0,4.0,1,5
Loma de las brujas,6.1584826,-75.5749656,Apartamento,1150000000,3,4,170.0,401500.0,1.0,2,5
Loma El atravesado,6.167286499999999,-75.5836963,Casa,1850000000,3,4,248.0,755000.0,,2,6
El chagualo,6.276861999999999,-75.56461929999999,Apartamento,350000000,3,2,69.0,214000.0,1.0,1,4
Prado,6.256632499999999,-75.56170209999999,Apartamento,220000000,3,2,54.0,150000.0,1.0,1,4
Escobero,6.1620898,-75.5685802,Casa,2700000000,6,6,530.0,210000.0,2.0,5,5
San Diego,6.2332766,-75.5690849,Apartamento,542000000,3,2,62.0,224000.0,,1,4
Altos del poblado,6.214739,-75.55838969999999,Apartamento,498000000,2,3,64.0,187000.0,1.0,1,6
Loma del Escobero,6.1869311,-75.6408266,Apartamento,650000000,3,2,90.0,350000.0,2.0,2,5
El trianon,6.15964,-75.5934822,Apartamento,360000000,3,2,86.0,0.0,1.0,,3
San Germán,6.268811100000001,-75.589049,Apartamento,515000000,2,2,79.0,240000.0,1.0,1,4
Loma de las brujas,6.1557098,-75.5664982,Apartamento,1550000000,3,4,181.0,570000.0,1.0,2,5
Pan de azucar,6.1570196,-75.6055208,Apartamento,385000000,3,2,73.0,217800.0,2.0,1,3
antillas,6.1555043,-75.58952649999999,Apartamento,330000000,2,2,63.0,317000.0,1.0,1,4
Villa paula,6.1689548,-75.6098971,Apartamento,310000000,3,2,110.0,0.0,3.0,,3
prados de sabaneta,6.1464981,-75.6231129,Apartamento,390000000,3,2,78.0,0.0,3.0,1,4
asdesillas,6.1532604,-75.6054489,Apartamento,485000000,3,2,83.0,0.0,,1,4
ITAGUI,6.192992299999999,-75.5999054,Apartamento,350000000,3,2,59.0,194000.0,1.0,1,3
Las lomitas,6.147159299999999,-75.61249819999999,Apartamento,500000000,3,2,82.0,340000.0,1.0,1,4
Otraparte,6.167286499999999,-75.5836963,Apartamento,890000000,3,2,147.0,930000.0,1.0,2,5
Barrio Triste,6.259295,-75.5967688,Apartamento,290000000,3,2,87.0,0.0,,,4
La asuncion,6.3551622,-75.4982006,Apartamento,210000000,3,,78.0,0.0,1.0,,3
Mesa,6.177418299999999,-75.5795603,Apartamento,600000000,3,2,130.0,30000.0,1.0,1,3
Calasanz parte alta,6.2638612,-75.5996894,Apartamento,290000000,2,2,53.0,180000.0,1.0,,5
Pan de azucar,6.141437400000001,-75.6194084,Apartamento,425000000,3,2,78.0,0.0,0.0,1,3
ROBLEDO PAJARITO,6.281900299999999,-75.6199127,Apartamento,130000000,2,1,48.0,20000.0,2.0,,2
Calasanz,6.264072100000001,-75.6025561,Apartamento,400000000,3,2,71.0,0.0,2.0,1,4
San andres,6.1628698,-75.6393214,Casa,650000000,4,4,194.0,0.0,,2,4
LOMA DEL ESCOBERO,6.154268399999999,-75.5834138,Apartamento,2950000000,3,4,400.0,900000.0,3.0,1,5
Ancon sur,6.149038399999999,-75.62615269999999,Apartamento,376900000,,,58.0,0.0,0.0,,4
La Pilarica,6.275701,-75.5835694,Apartamento,420000000,3,2,83.0,350000.0,2.0,1,5
cañaveralejo,6.1425277,-75.6215639,Apartamento,530000000,3,2,97.0,282000.0,1.0,1,5
Laureles,6.2476376,-75.56581530000001,Apartamento,775000000,3,2,127.0,300000.0,0.0,1,5
CENTRO,6.1708345,-75.6085789,Apartamento,360000000,2,2,73.0,0.0,1.0,1,4
Pan de azucar,6.142419299999999,-75.6102532,Apartamento,218000000,3,2,58.0,150000.0,,,3
Las Palmas,6.167286499999999,-75.5836963,Apartamento,650000000,1,2,75.0,0.0,,2,6
Belen La Palma,6.2418132,-75.6027406,Apartamento,789000000,3,4,118.0,0.0,1.0,1,5
Suramerica,6.1636051,-75.6388509,Apartamento,410000000,2,2,74.0,340000.0,1.0,1,3
San rafael,6.1599337,-75.6059813,Apartamento,490000000,2,2,68.0,300000.0,1.0,1,3
Palmas,6.167286499999999,-75.5836963,Casa,5000000000,4,5,610.0,1103000.0,2.0,10,6
Santa catalina,6.1646493,-75.632396,Apartamento,550000000,3,2,88.0,310000.0,1.0,1,4
El pesebre,6.2739645,-75.5953669,Apartamento,270000000,2,2,50.0,219362.0,3.0,1,3
zuñiga,6.1857102,-75.5815181,Apartamento,700000000,3,2,124.0,529000.0,3.0,1,5
Betanía,6.1463703,-75.621934,Apartamento,800000000,5,2,149.0,0.0,3.0,,4
Villa hermosa,6.255081499999999,-75.5511356,Apartamento,410000000,3,1,120.0,0.0,3.0,,3
La doctora,6.142917199999999,-75.6110829,Apartamento,280000000,3,2,54.0,189000.0,1.0,1,3
La colina,6.197635,-75.5919004,Apartamento,580000000,3,2,95.0,320000.0,1.0,1,4
Industrial,6.158696700000001,-75.64256069999999,Apartamento,225000000,2,1,54.0,0.0,,,3
Bellavista,INVALID,INVALID,Apartamento,195000000,2,2,55.0,0.0,0.0,,3
Buenos Aires,6.230850999999999,-75.55042,Apartamento,250000000,2,1,70.0,0.0,3.0,,3
Calasanz,6.260915799999999,-75.5989846,Apartamento,240000000,2,2,55.0,160000.0,1.0,,4
Quebrada la clara,6.1691656,-75.5706084,Apartamento,670000000,2,3,80.0,0.0,0.0,2,5
Centro administrativo,6.2461766,-75.57302659999999,Casa,350000000,6,3,192.0,0.0,4.0,,3
Loma del barro,6.1562158,-75.59822299999999,Apartamento,481000000,3,2,104.0,384500.0,1.0,2,4
ITAGUÍ,6.1646493,-75.632396,Apartamento,320000000,2,2,68.0,240000.0,0.0,1,4
FERRERIA,6.1658602,-75.65180029999999,Apartamento,295000000,3,2,62.0,170000.0,,1,4
Mirador del esmeraldal,6.1723317,-75.5729278,Apartamento,800000000,3,2,123.0,0.0,0.0,1,4
Caicedo,6.243892199999999,-75.55371769999999,Apartamento,175000000,1,1,35.0,0.0,0.0,,3
vereda la cucharita,6.0298998,-75.4305712,Apartamento,1200000000,3,3,200.0,0.0,2.0,5,3
San Javier,6.2551295,-75.6174751,Casa,430000000,5,2,187.0,0.0,4.0,,3
Las Palmas,6.2287851,-75.5670442,Apartamento,450000000,3,2,75.0,450000.0,3.0,1,5
Bellavista,6.156675099999999,-75.639622,Apartamento,163000000,1,1,42.0,0.0,,,3
La candelaria,6.2476376,-75.56581530000001,Apartamento,670000000,3,3,123.0,0.0,3.0,1,5
DITAIRES,6.1676626,-75.6252414,Apartamento,255000000,3,2,64.0,85000.0,1.0,,3
La doctora,6.1504856,-75.61687859999999,Apartamento,415000000,2,2,61.0,0.0,1.0,2,4
Laureles Occidente,6.251593799999999,-75.5887989,Apartamento,780000000,4,4,225.0,376000.0,4.0,2,5
Laureles,6.241622599999999,-75.607828,Apartamento,510000000,3,2,100.0,50000.0,1.0,1,4
copacabana,6.3345981,-75.5280344,Apartamento,310000000,3,2,66.0,160000.0,1.0,1,3
Fontibon,6.149018799999999,-75.3789523,Apartamento,294500000,3,2,59.0,0.0,0.0,1,4
Rodeo Alto,6.2091777,-75.5936497,Apartamento,285000000,3,2,64.0,206000.0,2.0,1,4
aves marias,6.1504856,-75.61687859999999,Apartamento,528000000,3,2,84.0,440000.0,3.0,2,4
ITAGUI,6.1583405,-75.623241,Casa,600000000,4,3,140.0,421000.0,,1,5
Robledo,6.284618900000001,-75.58756269999999,Casa,320000000,4,2,128.0,0.0,1.0,,2
Centro,6.2541528,-75.57393189999999,Apartamento,300000000,4,2,135.0,0.0,,,3
El diamante,6.2476376,-75.56581530000001,Apartamento,580000000,3,3,129.0,0.0,,,6
La Aldea,INVALID,INVALID,Casa,1650000000,4,4,298.0,580000.0,,1,4
Lisboa,6.1609349,-75.6280428,Apartamento,340000000,2,2,68.0,342922.0,1.0,2,4
transversal intermedia,6.1687858,-75.5684664,Casa,990000000,4,3,308.0,500000.0,3.0,2,5
Boston,6.2493002,-75.5593064,Apartamento,230000000,2,2,47.0,210000.0,,,4
El dorado,6.165578399999999,-75.5901464,Casa,520000000,4,2,110.0,0.0,3.0,,3
Campo alegre,6.2529067,-75.612807,Casa,395000000,4,2,129.0,0.0,,,3
aliadas,6.1568545,-75.6066063,Apartamento,338000000,3,2,60.0,0.0,,,4
Fontibon,6.1643028,-75.3806692,Apartamento,330000000,2,2,61.0,0.0,0.0,1,3
Suramerica,INVALID,INVALID,Casa,370000000,4,2,130.0,0.0,,,3
Villa hermosa,6.253864200000001,-75.5569136,Casa,430000000,4,2,193.0,0.0,3.0,2,4
pan de azucar,6.1463322,-75.6272175,Apartamento,410000000,2,2,74.0,349000.0,1.0,1,4
Colon,6.241310899999999,-75.5690053,Apartamento,180000000,2,1,46.41,118000.0,,,3
Zuñiga,6.167286499999999,-75.5836963,Apartamento,1350000000,2,3,239.0,1070000.0,3.0,2,5
Jardines,6.180059,-75.58504730000001,Apartamento,535000000,3,2,85.0,450000.0,3.0,1,5
Sevilla,6.267144399999999,-75.5652748,Apartamento,370000000,3,3,111.0,0.0,3.0,,3
Barrio Cristóbal,6.2464894,-75.6147398,Casa,260590000,3,2,126.0,0.0,2.0,,4
Aves Maria,6.1441503,-75.6066374,Apartamento,910000000,3,3,158.0,584840.0,,1,4
Ub torres de aldea verde ii,6.248900799999999,-75.5671189,Apartaestudio,335000000,1,2,48.0,280000.0,0.0,1,3
SURAMERICA,6.1609349,-75.6280428,Apartamento,430000000,3,2,103.0,265000.0,1.0,1,4
Calasanz,6.2632726,-75.60059509999999,Apartamento,630000000,4,5,145.0,100000.0,3.0,1,5
Aves Maria,6.1472302,-75.6124887,Apartamento,460000000,3,2,93.0,320000.0,,1,4
SABANETA,6.1504856,-75.61687859999999,Apartamento,330000000,3,2,75.0,0.0,,1,5
Boston,6.2478931,-75.55815559999999,Casa,480000000,3,4,161.0,0.0,,,3
Villa Hermosa,6.252428,-75.5550748,Apartamento,450000000,4,4,180.0,0.0,3.0,,4
Tres esquinas,6.141437400000001,-75.6194084,Apartamento,520000000,3,2,86.0,340000.0,,1,4
El Poblado,6.227917799999999,-75.5623651,Apartamento,465000000,3,2,84.0,342000.0,,,4
