neighbourhood,latitude,longitude,property_type,price,rooms,baths,area,administration_price,age,garages,stratum
El rosario,6.274421999999999,-75.5810788,Casa,750000000,6,3,213.0,0.0,,,4
La milagrosa,6.2545722,-75.6212335,Apartamento,250000000,4,,70.0,0.0,,,3
itagui ditaires,6.1674737,-75.6319583,Apartamento,400000000,3,2,71.0,280000.0,,1,4
Loma del Indio,6.2304287,-75.5579865,Apartamento,180000000,2,1,37.0,81800.0,2.0,,3
Zuñiga,6.1810903,-75.5770477,Apartamento,750000000,3,2,118.0,505000.0,2.0,1,5
La mina,6.1512895,-75.58458639999999,Casa,4800000000,9,7,620.0,0.0,0.0,10,3
Cascuña,6.167682399999999,-75.57479649999999,Apartamento,740000000,3,4,137.0,590000.0,2.0,2,5
Las antillas,6.1555338,-75.58876479999999,Apartamento,370000000,3,2,75.0,365000.0,2.0,1,4
Robledo,6.283634699999999,-75.5948354,Apartamento,155000000,2,1,53.0,0.0,2.0,,2
Santa maria de los angeles,6.2476376,-75.56581530000001,Apartamento,880000000,3,3,125.0,0.0,,,6
Calasanz,6.2652046,-75.6034039,Apartamento,440000000,3,2,75.0,290000.0,,1,5
Urbanizacion doña maria robledo,6.2752696,-75.5959495,Apartamento,210000000,3,2,52.0,0.0,1.0,,3
Loma el atravesado,6.1617178,-75.5789599,Apartamento,880000000,3,3,116.0,550000.0,1.0,2,5
La finca,6.1608336,-75.6279043,Apartamento,260000000,1,2,48.0,250000.0,2.0,1,3
Guayabal,6.2023742,-75.5832303,Apartamento,180000000,2,1,48.0,0.0,,,3
Urbanizacion doña maria robledo,6.2752696,-75.5959495,Apartamento,215000000,3,2,52.0,151000.0,1.0,1,3
Belen La Palma,6.2193583,-75.60056469999999,Apartamento,450000000,3,2,78.0,290000.0,,1,5
Santa Fé,6.2226081,-75.5777485,Apartamento,465000000,2,2,66.0,300000.0,,1,4
Los arias,6.1558411,-75.6040446,Apartamento,197000000,3,2,62.0,154000.0,,,3
El Poblado,6.238662499999999,-75.564787,Casa,7900000000,5,6,1000.0,0.0,1.0,10,6
loma benedictinos,6.1783424,-75.57102789999999,Casa,1000000000,4,4,520.0,0.0,2.0,1,5
Conjunto residencial san jose,6.16442,-75.5809964,Apartamento,337000000,3,3,68.0,409000.0,3.0,1,4
Loma de las brujas,6.1613648,-75.5761748,Apartamento,740000000,3,2,107.0,364000.0,,2,5
Las Lomitas,6.1551091,-75.6085672,Apartamento,380000000,3,2,63.0,263000.0,2.0,1,3
Robledo pajarito,6.285629,-75.61002119999999,Apartamento,250000000,3,2,53.0,0.0,,,3
La Mota,6.2151191,-75.59909019999999,Apartamento,315000000,2,1,65.0,238000.0,4.0,1,4
