neighbourhood,count
CAMINO VERDE DE LOS NARANJOS,8
LA RAYA,8
QUEBRADA GRANDE,8
VEREDA EL PORVENIR,8
LOMA BENEDICTINOS,8
QUINTAS DEL CERRO,8
LA PLAYITA,7
LA COLINA,7
ENTRE AMIGOS,7
ALTO DE MISAEL,7
BRUJAS,7
LAGOS DE LA DOCTORA,7
PICACHO,7
VILLA NUEVA,7
ALTO DE LAS PALMAS,7
SAN CRISTÓBAL,7
LA SALLE,7
SHELLMAR,7
TABLAZO,7
ZONA INDUSTRIAL NO. 1,7
SAN ISIDRO,7
ORENSE,6
EL DIAMANTE 2,6
SUCRE,6
EL GUAYABO,6
LA QUINTA,6
LAURELES OCCIDENTE,6
MIRADOR DE GUADALCANAL,6
TRICENTENARIO,6
LAS ACACIAS,6
CONJUNTO RESIDENCIAL SAN FRANSISCO,6
CORDOBA,6
ACTIVIDAD MULTIPLE,6
LA ORQUIDEA,6
LA MACARENA,6
SAN PIO X,6
ACEVEDO BELLO,6
SANTA FÉ,6
PALENQUE,6
VEREDA LAS LOMITAS,6
SANTA MARIA NO. 3,6
EL PORVENIR,6
CAMPO VALDEZ,6
LA LOMA DEL INDIO,6
SAN PIO,6
LA INMACULADA,6
LAS CASITAS,6
ITAGI,6
EL ESCOBERO,6
LALINDE,6
TRINIDAD,6
CUCARACHO,6
LAS LOMAS NO.1,6
VILLAS DEL VALLEJUELO 1,6
EL AJIZAL,6
DOCE DE OCTUBRE,5
CLARAVAL,5
ALCALÁ,5
SAN AGUSTIN,5
LA LOMA,5
SIMON BOLIVAR SB (CENTRO),5
FONTIBON,5
TABLAZA,5
PRADO ,5
COLON,5
BELENCITO,5
POBLADO,5
LA SEBASTIANA,5
TRIANON,5
LA ASUNCION,5
SANTAMARIA,5
URBANIZACION VEGAS DEL POBLADO,5
URBANIZACION HORTENCIA LL,5
PORTATON DEL POBLADO,5
GUADUALES DE LA ABADIA,5
PEDREGAL,5
LOS ALCÁZARES,5
SABANETA ASDESILLAS,5
INTERMEDIA,5
EL TRAPICHE,5
ABURRA SUR ALTO DE LAS PALMAS,5
CAMINOS DE LA ROMERIA,5
EL SOCORRO,5
LOMA LINDA,5
TORRES DEL SUR,5
TRIANA,5
KENNEDY,5
BELÉN LAS MERCEDES,5
BELÉN RINCÓN,5
SAN JAVIER NO.2,5
PRIMAVERA,5
TOSCANA,5
ALIADAS DEL SUR,5
CAMPO VALDES NO.2,5
URBANIZACION MONTECARLO,4
MONTE VERDI,4
CEIBA BRUJA,4
TORRES DE SANTA BARBARA,4
FRANCISCO ANTONIO ZEA,4
SIMESA,4
VILLAGRANDE,4
ALEJANDRÍA,4
LA FERRERÍA,4
OTRA PARTE,4
PAN DE AZÚCAR,4
LAS CHIMENEAS,4
LAS FLÓRES,4
BELEN,4
LOS PARRA,4
CONJUNTO RESIDENCIAL SAN JOSE,4
UB. ACUARELA DEL NORTE,4
CHIMENEAS,4
JARDINES DEL MONTIEL,4
SAN CRISTOBAL,4
LOS CERROS - EL VERGEL,4
ANCÓN SUR,4
LA PALMA,4
ALCÁZARES ,4
LA CABAÑA,4
SAN BENITO,4
TIERRA FIRME,4
PE�AS BLANCAS,4
FERRERIA,4
SANTA CRUZ,4
SURAMÉRICA,4
LOMA DEL ATRAVEZADO,4
SANTO DOMINGO SAVIO NO.1,4
LOMA DE BENEDICTINOS,4
SAN FERNANDO,4
CALAZANS,4
CABAÑAS,4
BARRIO OBRERO,4
CASA JARDIN,4
PANTANILLO,4
EL ROSARIO,4
LOMA DE LOS PARRA,4
ALIADAS,4
ASOMADERA NO.3,3
LLANO GRANDE,3
NOEL,3
LA ESPERANZA NO.2,3
TEJELO,3
VILLA DEL CARMEN,3
PROVENZA,3
SAN PEDRO,3
RURAL,3
ALAMEDA,3
BETANÍA,3
VILLA PAULA,3
SEVILLA,3
LAS ESMERALDAS,3
ENTREAMIGOS,3
EL POBLADO LOMA DEL INDIO,3
NOROCCIDENTE,3
BERLIN,3
SANTA MARÍA,3
19 DE ABRIL,3
VALLANO,3
URBANIZACION NUEVA ANDALUCIA,3
SANTA MARGARITA,3
EL CASTILLO,3
ALTOS DE LAS PALMAS,3
SAN FRANCISCO,3
OTRO,3
URBANIZACION VEGAS DEL PARQUE L LL,3
LISBOA,3
SABANETA SAN JOSE,3
SANTANDER,3
ABURRA SUR LOMA DE LAS BRUJAS,3
LAS ESTANCIAS,3
VILLAHERMOS,3
BUCAREST,3
PARQUE MEDITERRANEO,3
LOMA SAN JOSE,3
PORTAL DEL VALLE,3
LA INMACULADA 1,3
CAMINO VERDE DE LAS COMETAS,3
VILLANUEVA,3
VIZCAYA,3
LA MARIA,3
AMÉRICA DANUBIO,3
MILLA DE ORO,3
AEROPARQUE JUAN PABLO II,3
LOMA DE LOS BALSOS,3
LORETO,3
AMAGA,3
LA AZULITA,3
ANTILLAS,3
NUESTRA SEÑORA DE LOS DOLORES,3
ALTO DE PALMAS,3
CABAÑITAS,3
BARRIO MESA,3
LOMITAS,3
TRANSVERSAL INFERIOR,3
ROBLEDO PILARICA,3
FUENTE CLARA,3
PORVENIR,3
LOMA EL CHOCHO,3
LA BARQUEREÑA,3
RIO NEGRO,3
CORAZON DE JESUS,3
LAS MERCEDES,3
MILAN VALLEJUELOS,3
SANTA MONICA,3
YARUMITO,3
ITAGUÍ,3
SUROCCIDENTE,3
ZÚÑIGA,3
VDA EL PEÑASCO VIA LAS PALMAS AEROPUERTO,3
MONTESSORI,3
NIQUIA,3
PARQUE PRINCIPAL,3
VILLATINA,3
LOMA DE CUMBRES,2
CALAZANZ,2
URBANIZACION MILAN CONDOMINIO IV,2
GLORIETA PILSEN,2
LA PINUELA,2
ENVIGADO LOMA DEL ESMERALDAL,2
CALASANIA,2
LA TABLACITA,2
JESUS NAZARENO,2
LOMA DEL INDIO EL POBLADO,2
PORTAL DEL CERRO,2
ASDECILLAS,2
BELEN GRANADA,2
URBANIZACION VILLA JARDIN I ETAPA,2
URBANIZACION LAS CUMBRES,2
BARRIO CRISTOBAL,2
LOS BALSOS N1,2
GINEBRA CASAS,2
BLANQUIZAL,2
MANGAZUL,2
MIRAVALLE,2
CAMPO ALEGRE,2
DITARIES,2
BOMBONA,2
UB ARCOIRIS 2A ETAPA,2
ALTO DE SAN JORGE,2
LA ALPUJARRA,2
LOMA ESCOBERO,2
ASDESILLA,2
BELÉN LA MOTA,2
EL TABLAZO - CANOAS,2
URBANIZACION CARLOS E RESTREPO,2
LAS GRANJAS,2
ZONA INDUSTRIAL NO. 2,2
LA FE,2
LAS ORQUIDEAS,2
CALASANÍA,2
LOMA DE SAN JULIÁN EL POBLADO,2
BOSQUES DE LA ESMERALDA,2
LOMA DEL CAMPESTRE,2
BELEN SAN BERNARDO,2
MANRIQUE ORIENTAL,2
LA ESMERALDA,2
ESTACION VILLA,2
CERROS DE GUADALCANAL,2
SAN JOSE DE MANZANILLO,2
ARAUCARIA,2
BRASILIA,2
BUENOS AIRES 8 DE MARZO,2
VILLAS DEL VALLEJUELO,2
VEREDA LA DOCTORA,2
URBANIZACION LOS LAURELES,2
LOMA LAS BRUJAS,2
EL OASIS,2
MANRIQUE CENTRAL NO.2,2
EL TESORO POBLADO,2
LOMA DE LOS MESA,2
URBANIZACION TORRES LA PALMA,2
EL OBRERO,2
LORENA,2
LOMA DE LOS BRUJAS,2
BARRIO TRES ESQUINAS,2
CONQUISTADORES MEDELLÍN,2
ROBLEDO VILLA SOFA,2
VILLA NUEVA BAJA,2
LA VIRGINIA,2
SABANETA LAS LOMITAS,2
TRANSV INTERMEDIA,2
LA BERMEJALA,2
SABANETA AVES MARIAS,2
URBANIZACION VILLA CENTRAL,2
OCCIDENTE,2
LA LINDE,2
SAN JAVIER NRO 1,2
LA VISITACIÓN,2
BELÉN ALIADAS,2
LOS BALSOS N2,2
ENVIGADO LA MINA,2
LOMA EL ESCOBERO,2
VILLA FLORA,2
MIRANDA,2
ARTEX,2
FLORESTA,2
URBANIZACION METROPOLITANA,2
BOMBONA NO.1,2
SIMÓN BOLÍVAR MEDELLIN,2
MONTEFRIO,2
ANTONIO NARIÑO,2
ENVIGADO LA FRONTERA,2
BOSTON ENCIZO,2
UB. RESERVA DE SAN JUAN 2,2
CALLE NUEVA,2
MARÍA AUXILIADORA,2
URBANIZACION COLINAS DEL SUR,2
QUINTAS DE LA QUINTA,2
URBANIZACION AMAZONIA,2
EL TRIANON ENVIGADO,2
MADERA,2
LAS LOMAS,2
VILLA GUADALUPE,2
IRIZA,2
COLOMBIA,2
CASTROPOL MEDELLÍN,2
ENVIGADO SEÑORIAL,2
URBANIZACION SAN BERNARDO,2
POBLADO LOS BALSOS N 1,2
EL PEDRERO,2
BOSQUES DE SAN PABLO,2
LA CHINCA,2
VEREDA MARIA AUXILIADORA,2
BETANIA,2
BELÉN LOS ALPES,2
CERAMICA,2
BOSQUE GRANDE,2
LOMA SAN JOSÉ,2
LAS AMERICAS,2
BARRIO LAS PALMAS,2
ALMERIA LAURELES,2
CASTROPOL POBLADO,2
LOMA DE BENEDIGTINOS,2
BELEN ALAMEDA,2
TRECE DE NOVIEMBRE,2
LAURELES NOGAL,2
ENVIGADSO,1
URBANIZACION PUERTO LUNA,1
GRATAMIRA,1
UB. RESERVA DE SAN JUAN,1
LOMA DEL INIDIO,1
NARANJAL,1
FLORESTA LA PRADERA,1
VILLA GRANDE,1
CD SAN LUCAS,1
MONTIEL II,1
CONJUNTO RESIDENCIAL CAMINO DEL PARQUE,1
RINCON DEL PARQUE,1
CASTELLANA,1
ROBLEDO CAMPIÑA,1
BARRIO ALCALA,1
BARRIO DITAIRES,1
EL NARANJAL,1
ECOPARQUE CERRO EL VOLADOR,1
URBANIZACION EL ENCANTO,1
COLOMBIA ANTIOQUIA SABANETA MAYORCA,1
VEREDA EL PANTANILLO,1
PERPETUO SOCORRO,1
ALCALÁ ,1
LA NAVARRA,1
MANUEL URIBE,1
ALEJANDRIA,1
LA LOMA DE LOS BERNAL,1
ANDALUCÌA,1
CERRITOS,1
ALTO LAS FLORES,1
LA MANSION,1
CARRIZALES,1
LA LOMITAS,1
CARIBE,1
NORTEAMERICA,1
LOMA DE LAS BRUJAS ENVIGADO,1
VEREDA OLIVARES,1
SALVATORIANOS,1
MILAN - VALLEJUELOS,1
UNIDAD AIRES DE SURAMERICA,1
BURDEOS,1
LA MILAGROSA BUENOS AIRES,1
LA GABRIELA,1
CENTRORIENTAL,1
CALAZANIA,1
LA CATEDRA,1
SANTA FE DE ANTIOQUIA,1
CUMBRE,1
BELÉN MALIBÚ,1
SAN JOSE DE LA CIMA NO.2,1
LOMA DE LA BRUJAS,1
EL CORAZON,1
LA CONCHA,1
LOMA LA SEBASTIANA,1
URBANIZACION RINCON DE LA VILLA,1
LOS ALPES,1
CO. FUNDADORES 1,1
LOMA LOS BENEDICTINOS,1
EL EDEN,1
PARQUE BOLIVAR,1
BELÉN ALTAVISTA,1
EL ESTADIO,1
EL RETIRO,1
LOMAS DEL ESCOBERO,1
ZONA CENTRO SABANETA,1
BOSTON MEDELLÍN,1
JUAN XXIII LA QUIEBRA,1
FLORENCIA NOROCCIDENTE,1
URBANIZACION DOCE DE OCTUBRE,1
EL CORAZON EL MORRO,1
PLAZA DE FERIAS,1
SAN ANTONIA DE PRADO,1
VEREDA FONTIBON RIONEGRO,1
SANTA MONICA II,1
