"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Arable land (% of land area)","AG.LND.ARBL.ZS","","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","11.1111111111111","",
"Africa Eastern and Southern","AFE","Arable land (% of land area)","AG.LND.ARBL.ZS","","4.13246905186671","4.14891871377915","4.27296986798365","4.33094350040754","4.36127541560493","4.37641053841365","4.3921187682921","4.42618978709574","4.47636628269346","4.57713883794574","4.61829460266791","4.64842142730376","4.67402642598285","4.69931700174075","4.75460336554387","4.76546188054723","4.7787507917132","4.87790783291095","4.8476971297146","4.84827837587095","4.88480186461697","4.92096722453811","4.9762589963722","5.02132393826156","5.21746993202375","5.28234275180986","5.29350335041039","5.34139142868551","5.42530380740704","5.42996028432182","5.45478262374409","5.46139846633649","5.86647902265823","5.90244055012906","5.92905347669748","5.9156974341015","5.93626630924847","5.93463526345666","5.99990854086769","6.0406191784897","6.05102934162134","6.11318284914138","6.27069853244745","6.3757195978399","6.49523382261977","6.59136387284769","6.71440010066153","6.83693138817797","7.08613030382463","7.25703528594918","7.50271135447617","7.88185976767953","7.91425148518127","7.96547689672921","8.00581917023574","8.10225007582914","8.16497085237649","8.26209608574463","8.26284817159687","8.28489221033754","8.32563324260277","8.37787568694204","","",
"Afghanistan","AFG","Arable land (% of land area)","AG.LND.ARBL.ZS","","11.7289913067476","11.8056513806479","11.8823114545482","11.9589715284486","11.9589715284486","12.0126335801788","12.0264323934808","12.0264323934808","12.0509636171289","12.066295631909","12.1122916762492","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","12.1276236910292","11.9957683639207","11.810250985082","11.7335909111816","11.7243917023136","11.7826533584778","11.8930438648943","11.7335909111816","11.7795869555218","11.7795869555218","11.7719209481318","11.9160418870644","11.9835027520967","11.9666375358386","11.9497723195805","11.9497723195805","11.9497723195805","11.9482391181025","11.9482391181025","11.9451727151465","11.9436395136685","11.9359735062785","11.9145086855864","11.9053094767183","11.8501142235101","11.8041181791699","11.9497723195805","11.9405731107125","12.0034343713107","12.0034343713107","11.9743035432286","12.0294987964368","",
"Africa Western and Central","AFW","Arable land (% of land area)","AG.LND.ARBL.ZS","","6.98728138147234","7.01425289999094","7.05272047558304","7.07924983806035","7.11727525761116","7.14535216623299","7.18956777036184","7.3107185256749","7.32155134868646","7.23577307667649","7.27401957424795","7.29236904996142","7.28341539012533","7.21365261358938","7.27178861303282","7.33701239694089","7.35016770250879","7.39460831459531","7.46867600140618","7.52417149212119","7.50261447879564","7.5635268600386","7.60476155732286","7.66830837141739","7.72555390469368","7.76477997475066","7.77846928623071","7.84356378333322","7.89318145035586","8.10254210250526","8.34860496275611","8.62274721472333","8.78490354618397","8.94473835313262","9.32323864829788","9.54973437337632","9.62345167580905","9.72317629878242","9.93543958619378","9.95888554663058","10.0692803384562","10.1654187588024","10.3607227569099","10.3074544925921","10.4436922741875","10.462377174771","10.5715878343272","10.7414767549067","10.917046092211","10.9976501971085","11.0836283217147","11.2763862375605","11.5484841439876","11.6531017004614","11.7971011786712","11.9381470365187","12.0681629887085","12.2153346532858","12.3041472077621","12.3280223353015","12.4102266550355","12.4465518535564","","",
"Angola","AGO","Arable land (% of land area)","AG.LND.ARBL.ZS","","2.14165396647148","2.16571749418465","2.18175984599342","2.20582337370659","2.22186572551536","2.24592925322852","2.26999278094169","2.29405630865485","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.3261410122724","2.36624689179434","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.40635277131627","2.48656453036015","2.6469880484479","2.6469880484479","2.6469880484479","2.6469880484479","2.72719980749178","2.72719980749178","3.20847036175503","3.36889387984278","3.76995267506216","3.76995267506216","3.88625972567578","4.01860912809818","4.11085265099864","4.28892275607604","4.28731852089516","4.28571428571429","4.28491216812385","4.28330793294297","4.28972487366648","4.31940322451271","4.31940322451271","",
"Albania","ALB","Arable land (% of land area)","AG.LND.ARBL.ZS","","15.7664233576642","15.9124087591241","16.0583941605839","16.1678832116788","16.7883211678832","17.3357664233577","17.8102189781022","18.2481751824818","18.6131386861314","19.014598540146","19.3430656934307","19.7080291970803","20","20.3284671532847","20.5474452554745","20.985401459854","21.1678832116788","21.2773722627737","21.2773722627737","21.3503649635036","21.4598540145985","21.4963503649635","21.4963503649635","21.4963503649635","21.4963503649635","21.4963503649635","21.5328467153285","21.5328467153285","21.2408759124088","21.1313868613139","21.0948905109489","21.0948905109489","21.0583941605839","21.0583941605839","21.0583941605839","21.0583941605839","21.0948905109489","21.0583941605839","21.0583941605839","21.0948905109489","21.0948905109489","21.0948905109489","21.0948905109489","21.0948905109489","19.6350364963504","21.3138686131387","21.0948905109489","22.2627737226277","22.2262773722628","22.8467153284672","22.7007299270073","22.5948905109489","22.521897810219","22.4671532846715","22.4489051094891","22.6386861313869","22.3357664233577","22.311897810219","22.2627737226277","21.8832116788321","21.8941605839416","21.8284671532847","21.5583941605839","",
"Andorra","AND","Arable land (% of land area)","AG.LND.ARBL.ZS","","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","2.12765957446809","1.59574468085106","1.80851063829787","1.82978723404255","1.72340425531915","1.70212765957447","1.65957446808511","1.63829787234043","1.61702127659574","1.63829787234043","1.63829787234043","1.63829787234043","1.61702127659574","1.72340425531915","1.70212765957447","1.72340425531915","1.74468085106383","1.74468085106383","1.75425531914894","1.6831914893617","1.63595744680851","1.59063829787234","1.59063829787234","1.55851063829787","",
"Arab World","ARB","Arable land (% of land area)","AG.LND.ARBL.ZS","","3.14219696209792","3.13525465065888","3.14664716173832","3.17174628771021","3.20414374109237","3.18545290260266","3.20218565325059","3.18402883871773","3.19622238573245","3.21233210843072","3.22995489900672","3.27054071972723","3.27206543668051","3.30268291920963","3.29956776837091","3.33926369048716","3.32048378114517","3.3382846430807","3.32849416901616","3.31897070788065","3.34545839044072","3.35753983543637","3.3386175191989","3.37667754210327","3.3991457900383","3.42326595796095","3.46315768955849","3.47001102140367","3.48067373770305","3.52716958907867","3.58619724725691","3.65557671975379","3.71487128531162","3.66004632132047","3.65018034466146","3.65999003509523","3.63112786683484","3.61198953560393","3.5960213631324","3.55733407111841","3.52402019112573","3.53158487645022","3.57201636171724","3.51957021660684","3.47011794396049","3.48166497571807","3.48348310343505","3.41042889574958","3.38375815500117","3.40070629618218","3.40689153256865","4.46562292880505","4.48876012841816","4.44714109058266","4.47266572003815","4.5377507732703","4.59605984643369","4.58637067147217","4.52832808316968","4.61424842577208","4.57290879725056","4.56415501215242","","",
"United Arab Emirates","ARE","Arable land (% of land area)","AG.LND.ARBL.ZS","","0.070402703463813","0.070402703463813","0.070402703463813","0.070402703463813","0.070402703463813","0.0844832441565756","0.0844832441565756","0.0844832441565756","0.0844832441565756","0.0985637848493382","0.0985637848493382","0.0985637848493382","0.112644325542101","0.126724866234863","0.154885947620389","0.154885947620389","0.168966488313151","0.168966488313151","0.168966488313151","0.225288651084202","0.267530273162489","0.253449732469727","0.32385243593354","0.337932976626302","0.366094058011828","0.408335680090115","0.408335680090115","0.408335680090115","0.408335680090115","0.492818924246691","0.492818924246691","0.535060546324979","0.563221627710504","0.591382709096029","0.605463249788792","0.64770487186708","0.633624331174317","0.506899464939454","0.605463249788792","0.844832441565756","0.999718389186145","1.0560405519572","0.901154604336806","0.887074063644044","0.957476767107857","0.712475359053788","0.627992114897212","0.72655589974655","0.702618980568854","0.712475359053788","0.635032385243593","0.522388059701493","0.528020275978598","0.619543790481555","0.620951844550831","0.626584060827936","0.626584060827936","0.595606871303858","0.702618980568854","0.689946493945367","0.708251196845959","0.709433962264151","0.709433962264151","",
"Argentina","ARG","Arable land (% of land area)","AG.LND.ARBL.ZS","","6.79543536169606","7.00846643207671","7.1619364999324","7.30809846931878","7.47655013903657","7.895669586252","8.16351139515254","8.71527282958611","8.76131384994281","8.80735487029952","8.85339589065623","8.89943691101294","8.94547793136965","8.99151895172636","9.03755997208306","9.08360099243977","9.12964201279648","9.17568303315319","9.2217240535099","9.26776507386661","9.31380609422331","9.35984711458002","9.40588813493673","9.45192915529344","9.49797017565015","9.54401119600685","9.59005221636356","9.63463161702641","9.6722683241434","9.71063584110732","9.74900335807125","9.78737087503517","9.82573839199909","9.86520212373342","9.90430045054427","9.94339877735513","9.98286250908945","10.0212300260534","10.0603283528642","10.0997920845985","10.1385250064859","10.180911977608","10.8993711381267","11.6178302986454","12.3476170117916","13.0020206892268","13.5144645538954","13.0216794741092","12.6030715937867","13.8865198469684","14.1143132762571","14.4784027419985","14.3937749617238","14.2425068604774","14.7452706006161","14.6285035937574","14.7534014813516","14.6823352297849","14.9267911235836","15.3214284409268","15.4306845130431","15.7485867964585","14.7577340144481","",
