show_id,name,image,genres,language,type,status,premiered,avg_runtime_minutes,rating,platform,seasons_count,episodes_count,cast,summary
117,Star Wars: Rebels,https://static.tvmaze.com/uploads/images/medium_portrait/353/884619.jpg,"Action, Adventure, Science-Fiction",English,Animation,Ended,2014-09-29,32,7.9,Disney XD,4,69,"Taylor Gray, Vanessa Marshall, Steve Blum, Freddie Prinze, Jr., Tiya Sircar, Jason Isaacs, Tim Curry","Star Wars Rebels, set five years before the events of Star Wars: Episode IV - A New Hope, tells the story of the Rebellion's beginnings while the Empire spreads tyranny through the galaxy."
118,House,https://static.tvmaze.com/uploads/images/medium_portrait/357/894990.jpg,"Drama, Mystery, Medical",English,Scripted,Ended,2004-11-16,60,8.8,FOX,8,176,"Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Lisa Edelstein, Jennifer Morrison, Peter Jacobson, Olivia Wilde, Kal Penn, Odette Annable, Charlyne Yi, Amber Tamblyn","Sink your teeth into meaty drama and intrigue with House, FOX's take on mystery, where the villain is a medical malady and the hero is an irreverent, controversial doctor who trusts no one, least of all his patients.Dr. Gregory House is a maverick physician who is devoid of bedside manner. While his behavior can border on antisocial, Dr. House thrives on the challenge of solving the medical puzzles that other doctors give up on. Together with his hand-picked team of young medical experts, he'll do whatever it takes in the race against the clock to solve the case."
120,Transparent,https://static.tvmaze.com/uploads/images/medium_portrait/210/525553.jpg,"Drama, Comedy",English,Scripted,Ended,2014-09-26,28,7.3,Prime Video,5,40,"Gaby Hoffmann, Jay Duplass, Amy Landecker, Judith Light, Jeffrey Tambor, Melora Hardin, Kathryn Hahn","In Transparent, an LA family with serious boundary issues have their past and future unravel when a dramatic admission causes everyone's secrets to spill out."
122,Nikita,https://static.tvmaze.com/uploads/images/medium_portrait/545/1362913.jpg,"Drama, Action, Crime",English,Scripted,Ended,2010-09-09,60,7.8,The CW,4,73,"Maggie Q, Shane West, Lyndsy Fonseca, Aaron Stanford, Melinda Clarke, Dillon Casey, Xander Berkeley, Noah Bean, Devon Sawa, Tiffany Hines, Ashton Holmes","When she was a deeply troubled teenager, Nikita was rescued from death row by a secret U.S. agency known only as Division, who trained her as a spy and assassin. Nikita was eventually betrayed by the only people she thought she could trust. Now, after three years in hiding, Nikita is seeking retribution and making it clear to her former boss, Percy and her former friends Michael and Birkhoff that she will stop at nothing to expose and destroy their covert operation."
123,Lost,https://static.tvmaze.com/uploads/images/medium_portrait/0/1389.jpg,"Drama, Adventure, Supernatural",English,Scripted,Ended,2004-09-22,60,8.2,ABC,6,121,"Matthew Fox, Evangeline Lilly, Jorge Garcia, Josh Holloway, Terry O'Quinn, Naveen Andrews, Daniel Dae Kim, Kim Yoon Jin, Emilie de Ravin, Dominic Monaghan, Michael Emerson, Harold Perrineau, Elizabeth Mitchell, Henry Ian Cusick, Ken Leung, Maggie Grace, Jeremy Davies, Néstor Carbonell, Rebecca Mader, Ian Somerhalder, Jeff Fahey, Malcolm David Kelley, Michelle Rodriguez, Adewale Akinnuoye-Agbaje, Cynthia Watros, Zuleikha Robinson, Rodrigo Santoro, Kiele Sanchez","Out of the blackness, the first thing Jack senses is pain. Then burning sun. A Bamboo forest. Smoke. Screams. With a rush comes the horrible awareness that the plane he was on tore apart in mid-air and crashed on a Pacific island. From there it's a blur, as his doctor's instinct kicks in: people need his help.Stripped of everything, the 48 survivors scavenge what they can from the plane for their survival. Some panic. Some pin their hopes on rescue. A few find inner strength they never knew they had -- like Kate, who, with no medical training, suddenly finds herself suturing the doctor's wounds. Hurley - a man with a warm sense of humor despite the desperate situation - does his best to keep his cool as he helps those around him to survive. Charlie is a faded rock star who harbors a painful secret. Sayid is a Middle Eastern man who must wrestle with the racial profiling directed at him by some of his fellow survivors. Jin and Sun are a Korean couple whose traditions, values and language are foreign, and thus causes much to get lost in the translation. Sawyer has an air of danger surrounding him, and his intense sense of mistrust for everyone around him could prove to be fatal to his fellow castaways. Michael has just gained custody of his nine-year-old son, Walt, after the death of his ex-wife - they are a father and son who don't even know each other. Locke is a mysterious man who keeps to himself, and who harbors a deeper connection to the island than any of the others. Self-centered Shannon - who actually gives herself a pedicure amid the chaos - and her estranged controlling brother, Boone , constantly bicker and must learn to get along if they are to survive. And young Claire is eight months pregnant and ill-prepared for the hardships of motherhood - especially on a deserted island."
124,2 Broke Girls,https://static.tvmaze.com/uploads/images/medium_portrait/63/158548.jpg,Comedy,English,Scripted,Ended,2011-09-19,30,7.2,CBS,6,138,"Kat Dennings, Beth Behrs, Garrett Morris, Matthew Moy, Jonathan Kite, Jennifer Coolidge","2 Broke Girls is a comedy about two young women waitressing at a greasy spoon diner who strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash. Sassy, streetwise Max Black works two jobs just to get by, one of which is waiting tables during the night shift at the retro-hip Williamsburg Diner. Sophisticated Caroline Channing is an uptown trust fund princess who's having a run of bad luck that forces her to reluctantly give waitressing a shot. At first, Max sees Caroline as yet another in a long line of inept servers she must cover for, but she's surprised to find that Caroline has as much substance as she does style.When Caroline discovers Max's knack for baking amazing cupcakes, she sees a lucrative future for them, but first they need to raise the start-up money. While they save their tips, they'll stay at the restaurant, working with Oleg, an overly flirtatious Russian cook; Earl, a 75-year-old kool-kat cashier; and Han Lee, the new, eager-to-please owner of the diner. Working together, these two broke girls living in one expensive city might just find the perfect recipe for their big break."
125,Selfie,https://static.tvmaze.com/uploads/images/medium_portrait/0/1756.jpg,"Comedy, Romance",English,Scripted,Ended,2014-09-30,30,7.1,ABC,1,13,"Allyn Rachel, Da'Vine Joy Randolph, David Harewood, John Cho, Karen Gillan, Tim Peper","Eliza Dooley has 263,000 followers who hang on to her every post, tweet and selfie. But one lonely day, she has a revelation: being friended is not the same as having actual friends. She asks marketing guru Henry to 'rebrand' her self-obsessed reputation and teach her how to connect with people in the real world. Loosely based on My Fair Lady, Selfie explores the modern struggles of Eliza and Henry, as he tries to teach her how to live life offline - whether she 'likes' it or not."
126,Mom,https://static.tvmaze.com/uploads/images/medium_portrait/47/119089.jpg,"Comedy, Family",English,Scripted,Ended,2013-09-23,30,7.6,CBS,8,170,"Allison Janney, Anna Faris, Mimi Kennedy, Beth Hall, Jaime Pressly, William Fichtner, Kristen Johnston, Sadie Calvano, Blake Garrett Rosenthal, Matt L. Jones, Spencer Daniels, French Stewart, Nate Corddry","Christy is a single mom who, after years of questionable choices, is now sober and trying to get her life on track. She's tested daily by her newly sober mother, Bonnie, who is trying to make up for all the ways she's let Christy down. Christy is further challenged by her relationships with her own kids. Her daughter Violet is engaged to a man twice her age and her ten-year-old son, Roscoe, would rather live with his father Baxter, a former slacker who has only recently gotten himself together. To help her stay sober, Christy relies on her support system from AA, comprised of her sponsor Marjorie, her wealthy sponsee, Jill, and her emotional friend, Wendy. Christy tries to remain positive as she attempts to overcome her past and build a better future, but with her dysfunctional family and life's many setbacks, it's always an uphill battle."
127,The Affair,https://static.tvmaze.com/uploads/images/medium_portrait/494/1235104.jpg,"Drama, Romance",English,Scripted,Ended,2014-10-12,61,7.7,Paramount+ with Showtime,5,53,"Dominic West, Maura Tierney, Jadon Sand, Ruth Wilson, Julia Goldani Telles, Leya Catlett, Joshua Jackson, Jake Siciliano, Omar Metwally, Catalina Sandino Moreno, Sanaa Lathan, Anna Paquin, Irène Jacob","At once deeply observed and intriguingly elusive, The Affair explores the emotional effects of an extramarital relationship.Noah is a New York City schoolteacher and novelist who is happily married, but resents his dependence on his wealthy father-in-law. Alison is a young waitress trying to piece her life and marriage back together in the wake of a tragedy. The provocative drama unfolds when Alison and Noah meet in Montauk at the end of Long Island."
128,Jane the Virgin,https://static.tvmaze.com/uploads/images/medium_portrait/591/1478947.jpg,"Drama, Crime, Romance",English,Scripted,Ended,2014-10-13,60,7.3,The CW,5,100,"Justin Baldoni, Gina Rodriguez, Andrea Navedo, Yael Grobglas, Ivonne Coll, Jaime Camil, Brett Dier, Elias Janssen","When Jane Villanueva was a young girl, her grandmother, Alba, convinced her of two things: telenovelas are the highest form of entertainment, and women must protect their virginity at all costs. Jane the Virgin, although she has always tried to be the good girl who does the right thing, Jane's life has suddenly become as dramatic and complicated as the telenovelas she has always loved."
